predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x	north	2013	ep_x	-0.01789575848663698	2013-02-01
ep_x	north	2014	ep_x	-0.03869505143253449	2014-02-01
ep_x	north	2015	ep_x	-0.06078328039388631	2015-02-01
ep_x	north	2016	ep_x	-0.03659436858128009	2016-02-01
ep_x	north	2017	ep_x	-4.163336342344337e-17	2017-02-01
ep_x	north	2018	ep_x	-4.163336342344337e-17	2018-02-01
ep_x	north	2019	ep_x	0.0426523365288726	2019-02-01
ep_x	north	2020	ep_x	-0.0043907573196559566	2020-02-01
ep_x	north	2021	ep_x	-0.010425576095140106	2021-02-01
ep_x	north	2022	ep_x	-0.010414092715789636	2022-02-01
ep_x	north	2023	ep_x	0.6116668340240395	2023-02-01
ep_x	north	2024	ep_x	0.6019300719560599	2024-02-01
