predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
lbi	north	2013	lbi	1.229947250544352	2013-02-01
lbi	north	2014	lbi	1.3311115723636737	2014-02-01
lbi	north	2015	lbi	1.187289023042181	2015-02-01
lbi	north	2016	lbi	1.3311308552121643	2016-02-01
lbi	north	2017	lbi	1.1674203426860568	2017-02-01
lbi	north	2018	lbi	1.2067693302477145	2018-02-01
lbi	north	2019	lbi	1.4368945907448514	2019-02-01
lbi	north	2020	lbi	1.4538279417529447	2020-02-01
lbi	north	2021	lbi	1.4566815877483075	2021-02-01
lbi	north	2022	lbi	1.4368901572667567	2022-02-01
lbi	north	2023	lbi	1.4368073925493716	2023-02-01
lbi	north	2024	lbi	1.4361311619744819	2024-02-01
