predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ne_star-lbi	north	2013	ne_star	-0.9619508261687153	2013-02-01
ne_star-lbi	north	2013	lbi	0.8057626870390621	2013-02-01
ne_star-lbi	north	2014	ne_star	-0.8556832111970819	2014-02-01
ne_star-lbi	north	2014	lbi	0.887747162289288	2014-02-01
ne_star-lbi	north	2015	ne_star	-0.8541431407776165	2015-02-01
ne_star-lbi	north	2015	lbi	0.8547237190431067	2015-02-01
ne_star-lbi	north	2016	ne_star	-0.607682504903895	2016-02-01
ne_star-lbi	north	2016	lbi	0.9577940389938496	2016-02-01
ne_star-lbi	north	2017	ne_star	-0.5570400801436817	2017-02-01
ne_star-lbi	north	2017	lbi	0.9161661094621345	2017-02-01
ne_star-lbi	north	2018	ne_star	-0.4729630507796203	2018-02-01
ne_star-lbi	north	2018	lbi	0.9554068692623432	2018-02-01
ne_star-lbi	north	2019	ne_star	-0.04539339294663697	2019-02-01
ne_star-lbi	north	2019	lbi	1.4357917437918133	2019-02-01
ne_star-lbi	north	2020	ne_star	-0.1269151411769783	2020-02-01
ne_star-lbi	north	2020	lbi	1.4341736555613451	2020-02-01
ne_star-lbi	north	2021	ne_star	-0.10249818711562549	2021-02-01
ne_star-lbi	north	2021	lbi	1.455931605422836	2021-02-01
ne_star-lbi	north	2022	ne_star	-0.05866528039979743	2022-02-01
ne_star-lbi	north	2022	lbi	1.4355054573231687	2022-02-01
ne_star-lbi	north	2023	ne_star	-0.006313720766972083	2023-02-01
ne_star-lbi	north	2023	lbi	1.4366883192323276	2023-02-01
ne_star-lbi	north	2024	ne_star	-0.19203374402552553	2024-02-01
ne_star-lbi	north	2024	lbi	1.432240038542758	2024-02-01
