predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
distance_from_consensus	south	2013	distance_from_consensus	-0.25679512866126586	2012-09-01
distance_from_consensus	south	2014	distance_from_consensus	-0.2633056425324288	2013-09-01
distance_from_consensus	south	2015	distance_from_consensus	-0.2568917270206498	2014-09-01
distance_from_consensus	south	2016	distance_from_consensus	-1.5272794636863884	2015-09-01
distance_from_consensus	south	2017	distance_from_consensus	-1.7464002932033016	2016-09-01
distance_from_consensus	south	2018	distance_from_consensus	-1.6940320132301587	2017-09-01
distance_from_consensus	south	2019	distance_from_consensus	-0.8928084322958061	2018-09-01
distance_from_consensus	south	2020	distance_from_consensus	-0.23445696031474292	2019-09-01
distance_from_consensus	south	2021	distance_from_consensus	-0.8291188384442753	2020-09-01
distance_from_consensus	south	2022	distance_from_consensus	-0.8527417675454708	2021-09-01
distance_from_consensus	south	2023	distance_from_consensus	-0.47191640301663995	2022-09-01
distance_from_consensus	south	2024	distance_from_consensus	-0.47044249862938897	2023-09-01
