predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_star-ne_star	south	2013	ep_star	-0.2946310152886981	2012-09-01
ep_star-ne_star	south	2013	ne_star	-0.11078050513575455	2012-09-01
ep_star-ne_star	south	2014	ep_star	-0.25730360308734174	2013-09-01
ep_star-ne_star	south	2014	ne_star	-0.07683178832890793	2013-09-01
ep_star-ne_star	south	2015	ep_star	-0.1231007565932117	2014-09-01
ep_star-ne_star	south	2015	ne_star	-0.07370854595352416	2014-09-01
ep_star-ne_star	south	2016	ep_star	-0.15539770799655656	2015-09-01
ep_star-ne_star	south	2016	ne_star	-0.10735123578648384	2015-09-01
ep_star-ne_star	south	2017	ep_star	-0.05047185109093083	2016-09-01
ep_star-ne_star	south	2017	ne_star	-0.2670603528029891	2016-09-01
ep_star-ne_star	south	2018	ep_star	-0.006434943617327515	2017-09-01
ep_star-ne_star	south	2018	ne_star	-0.23470113880178814	2017-09-01
ep_star-ne_star	south	2019	ep_star	0.00417261541763008	2018-09-01
ep_star-ne_star	south	2019	ne_star	-0.25266250063370155	2018-09-01
ep_star-ne_star	south	2020	ep_star	-0.01995967880914686	2019-09-01
ep_star-ne_star	south	2020	ne_star	-0.23353234834594253	2019-09-01
ep_star-ne_star	south	2021	ep_star	-0.014780962349729799	2020-09-01
ep_star-ne_star	south	2021	ne_star	-0.27701577702353186	2020-09-01
ep_star-ne_star	south	2022	ep_star	-0.017371155387229102	2021-09-01
ep_star-ne_star	south	2022	ne_star	-0.2869694149260804	2021-09-01
ep_star-ne_star	south	2023	ep_star	-0.026816381494572893	2022-09-01
ep_star-ne_star	south	2023	ne_star	-0.21548793228104357	2022-09-01
ep_star-ne_star	south	2024	ep_star	-0.024466660654173827	2023-09-01
ep_star-ne_star	south	2024	ne_star	-0.257474658884566	2023-09-01
