predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x-ne_star	south	2013	ep_x	-0.730537195342273	2012-09-01
ep_x-ne_star	south	2013	ne_star	-0.742422926956674	2012-09-01
ep_x-ne_star	south	2014	ep_x	-0.5394714649499533	2013-09-01
ep_x-ne_star	south	2014	ne_star	-0.5364212078636195	2013-09-01
ep_x-ne_star	south	2015	ep_x	-0.47726508645709276	2014-09-01
ep_x-ne_star	south	2015	ne_star	-0.6819483189876443	2014-09-01
ep_x-ne_star	south	2016	ep_x	-0.30441930442534954	2015-09-01
ep_x-ne_star	south	2016	ne_star	-0.5401339340529914	2015-09-01
ep_x-ne_star	south	2017	ep_x	-2.2125817878056624e-05	2016-09-01
ep_x-ne_star	south	2017	ne_star	-0.5696995177269109	2016-09-01
ep_x-ne_star	south	2018	ep_x	-1.9613376184682627e-06	2017-09-01
ep_x-ne_star	south	2018	ne_star	-0.6087745360829075	2017-09-01
ep_x-ne_star	south	2019	ep_x	0.0040196074140010285	2018-09-01
ep_x-ne_star	south	2019	ne_star	-0.09616137259296563	2018-09-01
ep_x-ne_star	south	2020	ep_x	0.03861727886081824	2019-09-01
ep_x-ne_star	south	2020	ne_star	-0.042384425713621554	2019-09-01
ep_x-ne_star	south	2021	ep_x	-0.006948283355330501	2020-09-01
ep_x-ne_star	south	2021	ne_star	-0.0709167163903425	2020-09-01
ep_x-ne_star	south	2022	ep_x	-0.035402180290078605	2021-09-01
ep_x-ne_star	south	2022	ne_star	-0.08150260682961376	2021-09-01
ep_x-ne_star	south	2023	ep_x	0.00449410259927822	2022-09-01
ep_x-ne_star	south	2023	ne_star	-0.1651191494262966	2022-09-01
ep_x-ne_star	south	2024	ep_x	0.017286618516072598	2023-09-01
ep_x-ne_star	south	2024	ne_star	-0.11862666452365757	2023-09-01
