predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ep_x	south	2013	ep_x	-0.8210152840764886	2012-09-01
ep_x	south	2014	ep_x	-0.4492470409012793	2013-09-01
ep_x	south	2015	ep_x	-0.48124517015163654	2014-09-01
ep_x	south	2016	ep_x	-0.2387390162807782	2015-09-01
ep_x	south	2017	ep_x	3.3306690738754696e-16	2016-09-01
ep_x	south	2018	ep_x	0.029489674890225255	2017-09-01
ep_x	south	2019	ep_x	0.015816094366390893	2018-09-01
ep_x	south	2020	ep_x	0.045270468951246146	2019-09-01
ep_x	south	2021	ep_x	0.06732649067241683	2020-09-01
ep_x	south	2022	ep_x	0.10562911756637895	2021-09-01
ep_x	south	2023	ep_x	0.07991731952288475	2022-09-01
ep_x	south	2024	ep_x	0.12784685095395648	2023-09-01
