predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
lbi	south	2013	lbi	0.32947286567087	2012-09-01
lbi	south	2014	lbi	0.34568651376531906	2013-09-01
lbi	south	2015	lbi	0.3264525476060348	2014-09-01
lbi	south	2016	lbi	0.2740188461121534	2015-09-01
lbi	south	2017	lbi	-1.27675647831893e-15	2016-09-01
lbi	south	2018	lbi	1.3183898417423734e-16	2017-09-01
lbi	south	2019	lbi	-0.04130937429748202	2018-09-01
lbi	south	2020	lbi	-0.01154046231337414	2019-09-01
lbi	south	2021	lbi	-0.0010502505704819629	2020-09-01
lbi	south	2022	lbi	0.005012975612476554	2021-09-01
lbi	south	2023	lbi	0.004213685635784984	2022-09-01
lbi	south	2024	lbi	0.0018886452142649213	2023-09-01
