predictors	hemisphere	forecast_year	predictor	coefficient	validation_timepoint
ne_star-lbi	south	2013	ne_star	-0.6260974134028485	2012-09-01
ne_star-lbi	south	2013	lbi	0.2618442182920513	2012-09-01
ne_star-lbi	south	2014	ne_star	-0.613691997294337	2013-09-01
ne_star-lbi	south	2014	lbi	0.27287048428713595	2013-09-01
ne_star-lbi	south	2015	ne_star	-0.6347739210793006	2014-09-01
ne_star-lbi	south	2015	lbi	1.4333303243847684e-05	2014-09-01
ne_star-lbi	south	2016	ne_star	-0.6252786746990504	2015-09-01
ne_star-lbi	south	2016	lbi	0.00012405197155416201	2015-09-01
ne_star-lbi	south	2017	ne_star	-0.42310665237790623	2016-09-01
ne_star-lbi	south	2017	lbi	-4.505724849907661e-08	2016-09-01
ne_star-lbi	south	2018	ne_star	-0.4472042596273075	2017-09-01
ne_star-lbi	south	2018	lbi	-1.630532609397468e-05	2017-09-01
ne_star-lbi	south	2019	ne_star	-0.423121035587824	2018-09-01
ne_star-lbi	south	2019	lbi	-2.6166161847722934e-05	2018-09-01
ne_star-lbi	south	2020	ne_star	-0.3491831089053047	2019-09-01
ne_star-lbi	south	2020	lbi	-0.011042886932090878	2019-09-01
ne_star-lbi	south	2021	ne_star	-0.36161405675770353	2020-09-01
ne_star-lbi	south	2021	lbi	-0.04681472741428441	2020-09-01
ne_star-lbi	south	2022	ne_star	-0.3133824949033924	2021-09-01
ne_star-lbi	south	2022	lbi	-0.08471326489811566	2021-09-01
ne_star-lbi	south	2023	ne_star	-0.3305830673694771	2022-09-01
ne_star-lbi	south	2023	lbi	-0.11570536882209001	2022-09-01
ne_star-lbi	south	2024	ne_star	-0.3733607262886061	2023-09-01
ne_star-lbi	south	2024	lbi	-0.11886029109618845	2023-09-01
