predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
delta_frequency	north	2013	2013-02-01	1.8394522666931152	1.9617173671722412	0.7643134593963623	2.3786157766977944	145
delta_frequency	north	2014	2014-02-01	2.523575782775879	2.41436505317688	0.6031949520111084	2.2262957096099854	80
delta_frequency	north	2015	2015-02-01	2.9661154747009277	3.0144407749176025	0.6710795760154724	2.2922855377197267	95
delta_frequency	north	2016	2016-02-01	1.3781574964523315	1.4696948528289795	0.6430944204330444	2.404586752255758	167
delta_frequency	north	2017	2017-02-01	2.885101079940796	2.931094169616699	1.2812583446502686	2.2561840329851424	314
delta_frequency	north	2018	2018-02-01	3.973651885986328	4.048731803894043	0.7546067237854004	2.334803655743599	313
delta_frequency	north	2019	2019-02-01	3.209153175354004	3.6448709964752197	1.2593270540237427	2.5168908304638333	194
delta_frequency	north	2020	2020-02-01	2.541851758956909	2.5271248817443848	0.813098132610321	2.577529859542847	351
delta_frequency	north	2021	2021-02-01	4.471259593963623	4.433582305908203	1.1769627332687378	2.4833931814540517	50
delta_frequency	north	2022	2022-02-01	3.170969247817993	3.505948781967163	0.6642612814903259	2.670528749624888	351
delta_frequency	north	2023	2023-02-01	2.21960186958313	2.5211341381073	0.6845777630805969	2.681426460926349	311
delta_frequency	north	2024	2024-02-01	1.7287650108337402	1.5507928133010864	0.7244507670402527	2.648067423275539	376
