predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_star-ne_star	north	2013	2013-02-01	1.7044318914413452	1.9617173671722412	0.7643134593963623	2.1810144980748496	145
ep_star-ne_star	north	2014	2014-02-01	2.225558280944824	2.41436505317688	0.6031949520111084	2.056109994649887	80
ep_star-ne_star	north	2015	2015-02-01	3.052861452102661	3.0144407749176025	0.6710795760154724	2.093787407875061	95
ep_star-ne_star	north	2016	2016-02-01	1.4080860614776611	1.4696948528289795	0.6430944204330444	2.2719867626825967	167
ep_star-ne_star	north	2017	2017-02-01	2.8581135272979736	2.931094169616699	1.2812583446502686	2.1595522505896434	314
ep_star-ne_star	north	2018	2018-02-01	4.04189920425415	4.048731803894043	0.7546067237854004	2.2529987543821335	313
ep_star-ne_star	north	2019	2019-02-01	3.71328067779541	3.6448709964752197	1.2593270540237427	2.4598546822865806	194
ep_star-ne_star	north	2020	2020-02-01	2.4078896045684814	2.5271248817443848	0.813098132610321	2.5852997660636903	351
ep_star-ne_star	north	2021	2021-02-01	4.433582305908203	4.433582305908203	1.1769627332687378	2.5636796842921865	50
ep_star-ne_star	north	2022	2022-02-01	3.4525749683380127	3.505948781967163	0.6642612814903259	2.7230565547943115	351
ep_star-ne_star	north	2023	2023-02-01	2.416944742202759	2.5211341381073	0.6845777630805969	2.7820537915596595	311
ep_star-ne_star	north	2024	2024-02-01	1.5191494226455688	1.5507928133010864	0.7244507670402527	2.7547356486320496	376
