predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x-ne_star	north	2013	2013-02-01	1.6366052627563477	1.9617173671722412	0.7643134593963623	2.0585655768712363	145
ep_x-ne_star	north	2014	2014-02-01	2.1866908073425293	2.41436505317688	0.6031949520111084	1.9685100615024567	80
ep_x-ne_star	north	2015	2015-02-01	2.9997594356536865	3.0144407749176025	0.6710795760154724	2.028735327720642	95
ep_x-ne_star	north	2016	2016-02-01	1.4692944288253784	1.4696948528289795	0.6430944204330444	2.197439352671305	167
ep_x-ne_star	north	2017	2017-02-01	2.856858015060425	2.931094169616699	1.2812583446502686	2.120741162981306	314
ep_x-ne_star	north	2018	2018-02-01	4.279145240783691	4.048731803894043	0.7546067237854004	2.231011927127838	313
ep_x-ne_star	north	2019	2019-02-01	3.62363600730896	3.6448709964752197	1.2593270540237427	2.4663438532087536	194
ep_x-ne_star	north	2020	2020-02-01	2.413109064102173	2.5271248817443848	0.813098132610321	2.58668030500412	351
ep_x-ne_star	north	2021	2021-02-01	4.417212963104248	4.433582305908203	1.1769627332687378	2.564138022336093	50
ep_x-ne_star	north	2022	2022-02-01	3.4765827655792236	3.505948781967163	0.6642612814903259	2.7232572038968406	351
ep_x-ne_star	north	2023	2023-02-01	2.4005775451660156	2.5211341381073	0.6845777630805969	2.7750962330744815	311
ep_x-ne_star	north	2024	2024-02-01	1.5241925716400146	1.5507928133010864	0.7244507670402527	2.7507417031696866	376
