predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x	north	2013	2013-02-01	1.959503173828125	1.9617173671722412	0.7643134593963623	2.474718372027079	145
ep_x	north	2014	2014-02-01	2.4076404571533203	2.41436505317688	0.6031949520111084	2.343771666288376	80
ep_x	north	2015	2015-02-01	3.0124199390411377	3.0144407749176025	0.6710795760154724	2.354128289222717	95
ep_x	north	2016	2016-02-01	1.4701900482177734	1.4696948528289795	0.6430944204330444	2.4661899407704673	167
ep_x	north	2017	2017-02-01	2.931094169616699	2.931094169616699	1.2812583446502686	2.327129806791033	314
ep_x	north	2018	2018-02-01	4.048731803894043	4.048731803894043	0.7546067237854004	2.4026253521442413	313
ep_x	north	2019	2019-02-01	3.5992438793182373	3.6448709964752197	1.2593270540237427	2.5814965036180286	194
ep_x	north	2020	2020-02-01	2.5279552936553955	2.5271248817443848	0.813098132610321	2.6922577619552612	351
ep_x	north	2021	2021-02-01	4.440011501312256	4.433582305908203	1.1769627332687378	2.675896254452792	50
ep_x	north	2022	2022-02-01	3.5243213176727295	3.505948781967163	0.6642612814903259	2.822903792063395	351
ep_x	north	2023	2023-02-01	2.390204906463623	2.5211341381073	0.6845777630805969	2.7190329478337216	311
ep_x	north	2024	2024-02-01	1.905663251876831	1.5507928133010864	0.7244507670402527	2.6966821210724965	376
