predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
lbi	north	2013	2013-02-01	1.5766873359680176	1.9617173671722412	0.7643134593963623	2.229295253753662	145
lbi	north	2014	2014-02-01	2.4152510166168213	2.41436505317688	0.6031949520111084	2.055177628993988	80
lbi	north	2015	2015-02-01	2.8121442794799805	3.0144407749176025	0.6710795760154724	2.1400717735290526	95
lbi	north	2016	2016-02-01	1.4848012924194336	1.4696948528289795	0.6430944204330444	2.2360212008158364	167
lbi	north	2017	2017-02-01	2.724449396133423	2.931094169616699	1.2812583446502686	2.1434130498341153	314
lbi	north	2018	2018-02-01	2.506333351135254	4.048731803894043	0.7546067237854004	2.2120019048452377	313
lbi	north	2019	2019-02-01	2.0807242393493652	3.6448709964752197	1.2593270540237427	2.144905275768704	194
lbi	north	2020	2020-02-01	2.0341391563415527	2.5271248817443848	0.813098132610321	2.1366664290428163	351
lbi	north	2021	2021-02-01	4.503089904785156	4.433582305908203	1.1769627332687378	2.1270354227586226	50
lbi	north	2022	2022-02-01	2.777461051940918	3.505948781967163	0.6642612814903259	2.3267382880051932	351
lbi	north	2023	2023-02-01	2.499000310897827	2.5211341381073	0.6845777630805969	2.3614163948939395	311
lbi	north	2024	2024-02-01	1.674395203590393	1.5507928133010864	0.7244507670402527	2.371288367680141	376
