predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ne_star-lbi	north	2013	2013-02-01	1.534583568572998	1.9617173671722412	0.7643134593963623	2.1082525650660195	145
ne_star-lbi	north	2014	2014-02-01	2.2677252292633057	2.41436505317688	0.6031949520111084	1.9654699862003326	80
ne_star-lbi	north	2015	2015-02-01	2.9115209579467773	3.0144407749176025	0.6710795760154724	2.0290572166442873	95
ne_star-lbi	north	2016	2016-02-01	1.4444222450256348	1.4696948528289795	0.6430944204330444	2.1868969003359475	167
ne_star-lbi	north	2017	2017-02-01	2.731025457382202	2.931094169616699	1.2812583446502686	2.08943441935948	314
ne_star-lbi	north	2018	2018-02-01	3.080446720123291	4.048731803894043	0.7546067237854004	2.173577681183815	313
ne_star-lbi	north	2019	2019-02-01	2.06727933883667	3.6448709964752197	1.2593270540237427	2.1403430302937827	194
ne_star-lbi	north	2020	2020-02-01	2.03049373626709	2.5271248817443848	0.813098132610321	2.124492144584656	351
ne_star-lbi	north	2021	2021-02-01	4.502772331237793	4.433582305908203	1.1769627332687378	2.1157992753115566	50
ne_star-lbi	north	2022	2022-02-01	2.7818500995635986	3.505948781967163	0.6642612814903259	2.320446421702703	351
ne_star-lbi	north	2023	2023-02-01	2.495500326156616	2.5211341381073	0.6845777630805969	2.360757140012888	311
ne_star-lbi	north	2024	2024-02-01	1.6698373556137085	1.5507928133010864	0.7244507670402527	2.34942718063082	376
