predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
delta_frequency	south	2013	2012-09-01	1.5360208749771118	1.5324509143829346	0.8135835528373718	2.509418487548828	310
delta_frequency	south	2014	2013-09-01	1.7144259214401245	1.7102134227752686	0.7537522315979004	2.186116099357605	179
delta_frequency	south	2015	2014-09-01	2.735591173171997	2.7194035053253174	1.1935416460037231	2.0689001977443695	162
delta_frequency	south	2016	2015-09-01	1.7613319158554077	1.8450298309326172	0.5799286961555481	2.1787532806396483	268
delta_frequency	south	2017	2016-09-01	1.2274236679077148	1.1902215480804443	0.5109732747077942	2.0901896953582764	326
delta_frequency	south	2018	2017-09-01	2.17409086227417	2.174286127090454	0.8460144996643066	1.9703518492834908	325
delta_frequency	south	2019	2018-09-01	3.5478763580322266	3.4651172161102295	0.8630292415618896	2.000321000814438	305
delta_frequency	south	2020	2019-09-01	3.0618720054626465	3.0618720054626465	0.7112210988998413	2.184684541490343	330
delta_frequency	south	2021	2020-09-01	8.103068351745605	8.10284423828125	0.45503127574920654	2.273233437538147	254
delta_frequency	south	2022	2021-09-01	3.224017858505249	3.223132610321045	0.8112668991088867	2.8017135966907847	332
delta_frequency	south	2023	2022-09-01	2.7633721828460693	2.7827389240264893	0.9023489356040955	2.8422464728355408	378
delta_frequency	south	2024	2023-09-01	2.1819398403167725	2.156404972076416	0.6783755421638489	2.8419620257157545	389
