predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
distance_from_consensus	south	2013	2012-09-01	1.5088754892349243	1.5324509143829346	0.8135835528373718	2.4415335655212402	310
distance_from_consensus	south	2014	2013-09-01	1.6506679058074951	1.7102134227752686	0.7537522315979004	2.129449208577474	179
distance_from_consensus	south	2015	2014-09-01	2.5713624954223633	2.7194035053253174	1.1935416460037231	2.0108622312545776	162
distance_from_consensus	south	2016	2015-09-01	1.1326910257339478	1.8450298309326172	0.5799286961555481	1.9118469953536987	268
distance_from_consensus	south	2017	2016-09-01	0.8717707991600037	1.1902215480804443	0.5109732747077942	1.7589146494865417	326
distance_from_consensus	south	2018	2017-09-01	2.9785385131835938	2.174286127090454	0.8460144996643066	1.6373350620269775	325
distance_from_consensus	south	2019	2018-09-01	4.018282413482666	3.4651172161102295	0.8630292415618896	1.8686487674713135	305
distance_from_consensus	south	2020	2019-09-01	2.8242690563201904	3.0618720054626465	0.7112210988998413	2.151724696159363	330
distance_from_consensus	south	2021	2020-09-01	7.921067714691162	8.10284423828125	0.45503127574920654	2.135632336139679	254
distance_from_consensus	south	2022	2021-09-01	3.6199898719787598	3.223132610321045	0.8112668991088867	2.6592910343950447	332
distance_from_consensus	south	2023	2022-09-01	2.482440948486328	2.7827389240264893	0.9023489356040955	2.767033576965332	378
distance_from_consensus	south	2024	2023-09-01	1.94937264919281	2.156404972076416	0.6783755421638489	2.7450862572743344	389
