predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_star-ne_star	south	2013	2012-09-01	1.5176068544387817	1.5324509143829346	0.8135835528373718	2.4640878438949585	310
ep_star-ne_star	south	2014	2013-09-01	1.6792258024215698	1.7102134227752686	0.7537522315979004	2.155659278233846	179
ep_star-ne_star	south	2015	2014-09-01	2.693030834197998	2.7194035053253174	1.1935416460037231	2.047405332326889	162
ep_star-ne_star	south	2016	2015-09-01	1.8026669025421143	1.8450298309326172	0.5799286961555481	2.168593668937683	268
ep_star-ne_star	south	2017	2016-09-01	1.1288853883743286	1.1902215480804443	0.5109732747077942	2.094485282897949	326
ep_star-ne_star	south	2018	2017-09-01	2.2309489250183105	2.174286127090454	0.8460144996643066	1.9668229477746146	325
ep_star-ne_star	south	2019	2018-09-01	3.4854445457458496	3.4651172161102295	0.8630292415618896	1.9984890222549438	305
ep_star-ne_star	south	2020	2019-09-01	2.983055830001831	3.0618720054626465	0.7112210988998413	2.1637007792790732	330
ep_star-ne_star	south	2021	2020-09-01	8.08590316772461	8.10284423828125	0.45503127574920654	2.242405819892883	254
ep_star-ne_star	south	2022	2021-09-01	3.2130889892578125	3.223132610321045	0.8112668991088867	2.7724404226649892	332
ep_star-ne_star	south	2023	2022-09-01	2.7284646034240723	2.7827389240264893	0.9023489356040955	2.8138365944226584	378
ep_star-ne_star	south	2024	2023-09-01	2.1626250743865967	2.156404972076416	0.6783755421638489	2.8029062289458055	389
