predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_star	south	2013	2012-09-01	1.5286157131195068	1.5324509143829346	0.8135835528373718	2.502127766609192	310
ep_star	south	2014	2013-09-01	1.7065773010253906	1.7102134227752686	0.7537522315979004	2.1834510962168374	179
ep_star	south	2015	2014-09-01	2.714900016784668	2.7194035053253174	1.1935416460037231	2.065669149160385	162
ep_star	south	2016	2015-09-01	1.8347573280334473	1.8450298309326172	0.5799286961555481	2.1909098386764527	268
ep_star	south	2017	2016-09-01	1.18977689743042	1.1902215480804443	0.5109732747077942	2.1365142265955606	326
ep_star	south	2018	2017-09-01	2.17647647857666	2.174286127090454	0.8460144996643066	2.0021959713527133	325
ep_star	south	2019	2018-09-01	3.4651172161102295	3.4651172161102295	0.8630292415618896	2.024630457162857	305
ep_star	south	2020	2019-09-01	3.067329168319702	3.0618720054626465	0.7112210988998413	2.185830275217692	330
ep_star	south	2021	2020-09-01	8.102203369140625	8.10284423828125	0.45503127574920654	2.2708844423294066	254
ep_star	south	2022	2021-09-01	3.219235420227051	3.223132610321045	0.8112668991088867	2.801802797750993	332
ep_star	south	2023	2022-09-01	2.7413201332092285	2.7827389240264893	0.9023489356040955	2.8347193598747253	378
ep_star	south	2024	2023-09-01	2.1539177894592285	2.156404972076416	0.6783755421638489	2.8298710951438317	389
