predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x-ne_star	south	2013	2012-09-01	1.4958802461624146	1.5324509143829346	0.8135835528373718	2.2698147296905518	310
ep_x-ne_star	south	2014	2013-09-01	1.5736345052719116	1.7102134227752686	0.7537522315979004	2.043514053026835	179
ep_x-ne_star	south	2015	2014-09-01	2.656200647354126	2.7194035053253174	1.1935416460037231	1.9166917502880096	162
ep_x-ne_star	south	2016	2015-09-01	2.0017311573028564	1.8450298309326172	0.5799286961555481	2.092574644088745	268
ep_x-ne_star	south	2017	2016-09-01	1.087839961051941	1.1902215480804443	0.5109732747077942	2.0666828552881875	326
ep_x-ne_star	south	2018	2017-09-01	2.2944319248199463	2.174286127090454	0.8460144996643066	1.9230192048209054	325
ep_x-ne_star	south	2019	2018-09-01	3.4763598442077637	3.4651172161102295	0.8630292415618896	2.0134253203868866	305
ep_x-ne_star	south	2020	2019-09-01	3.0112438201904297	3.0618720054626465	0.7112210988998413	2.1793492900000677	330
ep_x-ne_star	south	2021	2020-09-01	8.100686073303223	8.10284423828125	0.45503127574920654	2.26453937292099	254
ep_x-ne_star	south	2022	2021-09-01	3.2071590423583984	3.223132610321045	0.8112668991088867	2.798308491706848	332
ep_x-ne_star	south	2023	2022-09-01	2.737492084503174	2.7827389240264893	0.9023489356040955	2.8210010627905526	378
ep_x-ne_star	south	2024	2023-09-01	2.154966115951538	2.156404972076416	0.6783755421638489	2.8189356877253604	389
