predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ep_x	south	2013	2012-09-01	1.5499119758605957	1.5324509143829346	0.8135835528373718	2.371030330657959	310
ep_x	south	2014	2013-09-01	1.6741299629211426	1.7102134227752686	0.7537522315979004	2.1227115790049234	179
ep_x	south	2015	2014-09-01	2.698759078979492	2.7194035053253174	1.1935416460037231	2.0081122517585754	162
ep_x	south	2016	2015-09-01	2.0379271507263184	1.8450298309326172	0.5799286961555481	2.1676986694335936	268
ep_x	south	2017	2016-09-01	1.1902215480804443	1.1902215480804443	0.5109732747077942	2.138755997021993	326
ep_x	south	2018	2017-09-01	2.1417934894561768	2.174286127090454	0.8460144996643066	2.003601312637329	325
ep_x	south	2019	2018-09-01	3.4756736755371094	3.4651172161102295	0.8630292415618896	2.0229531079530716	305
ep_x	south	2020	2019-09-01	3.0171141624450684	3.0618720054626465	0.7112210988998413	2.182931343714396	330
ep_x	south	2021	2020-09-01	8.081868171691895	8.10284423828125	0.45503127574920654	2.2636247873306274	254
ep_x	south	2022	2021-09-01	3.2616970539093018	3.223132610321045	0.8112668991088867	2.78762593052604	332
ep_x	south	2023	2022-09-01	2.7346224784851074	2.7827389240264893	0.9023489356040955	2.829576035340627	378
ep_x	south	2024	2023-09-01	2.1182093620300293	2.156404972076416	0.6783755421638489	2.8162084359389086	389
