predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ne_star-lbi	south	2013	2012-09-01	1.4931236505508423	1.5324509143829346	0.8135835528373718	2.410826325416565	310
ne_star-lbi	south	2014	2013-09-01	1.6095483303070068	1.7102134227752686	0.7537522315979004	2.105674227078756	179
ne_star-lbi	south	2015	2014-09-01	2.659726142883301	2.7194035053253174	1.1935416460037231	1.9868023991584778	162
ne_star-lbi	south	2016	2015-09-01	1.757576584815979	1.8450298309326172	0.5799286961555481	2.1222776412963866	268
ne_star-lbi	south	2017	2016-09-01	1.1086561679840088	1.1902215480804443	0.5109732747077942	2.081771890322367	326
ne_star-lbi	south	2018	2017-09-01	2.2692649364471436	2.174286127090454	0.8460144996643066	1.9399771690368652	325
ne_star-lbi	south	2019	2018-09-01	3.496624708175659	3.4651172161102295	0.8630292415618896	1.9830523133277893	305
ne_star-lbi	south	2020	2019-09-01	2.972397565841675	3.0618720054626465	0.7112210988998413	2.1559360027313232	330
ne_star-lbi	south	2021	2020-09-01	8.08272933959961	8.10284423828125	0.45503127574920654	2.23649685382843	254
ne_star-lbi	south	2022	2021-09-01	3.200868844985962	3.223132610321045	0.8112668991088867	2.772350170395591	332
ne_star-lbi	south	2023	2022-09-01	2.7215898036956787	2.7827389240264893	0.9023489356040955	2.806214372316996	378
ne_star-lbi	south	2024	2023-09-01	2.16935396194458	2.156404972076416	0.6783755421638489	2.796749857755808	389
