predictors	hemisphere	forecast_year	validation_timepoint	validation_error	null_validation_error	optimal_validation_error	training_error	validation_n
ne_star	south	2013	2012-09-01	1.5232592821121216	1.5324509143829346	0.8135835528373718	2.497347831726074	310
ne_star	south	2014	2013-09-01	1.6930898427963257	1.7102134227752686	0.7537522315979004	2.17436675230662	179
ne_star	south	2015	2014-09-01	2.7073915004730225	2.7194035053253174	1.1935416460037231	2.052233338356018	162
ne_star	south	2016	2015-09-01	1.815722107887268	1.8450298309326172	0.5799286961555481	2.1771040201187133	268
ne_star	south	2017	2016-09-01	1.166460633277893	1.1902215480804443	0.5109732747077942	2.123137811819712	326
ne_star	south	2018	2017-09-01	2.215182065963745	2.174286127090454	0.8460144996643066	1.9769455535071236	325
ne_star	south	2019	2018-09-01	3.4756710529327393	3.4651172161102295	0.8630292415618896	2.0119281709194183	305
ne_star	south	2020	2019-09-01	3.0264503955841064	3.0618720054626465	0.7112210988998413	2.173489424917433	330
ne_star	south	2021	2020-09-01	8.093582153320312	8.10284423828125	0.45503127574920654	2.254606640338898	254
ne_star	south	2022	2021-09-01	3.220144271850586	3.223132610321045	0.8112668991088867	2.790257540616122	332
ne_star	south	2023	2022-09-01	2.747187376022339	2.7827389240264893	0.9023489356040955	2.8215448955694833	378
ne_star	south	2024	2023-09-01	2.1613962650299072	2.156404972076416	0.6783755421638489	2.8156616596075206	389
