timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	B/ALICE_SPRINGS/11/2012_EPI_ISL_128721	0.00015800000000000002	2.323519999999998	2.3823729999999994	0.06111586513090905	0.00016260011694864908	2.270413304484002	2013-09-01	ep_star	north	2013
2013-02-01	B/Alaska/12/2012_EPI_ISL_128369	4.6e-05	2.454278999999998	2.4900869999999995	-0.7652846090482901	2.9232272937830632e-05	2.405015522867542	2013-09-01	ep_star	north	2013
2013-02-01	B/Argentina/35/2012_EPI_ISL_128371	0.00015800000000000002	2.199704999999999	2.345780999999999	0.06111586513090905	0.00016260011694864908	2.142993472332122	2013-09-01	ep_star	north	2013
2013-02-01	B/Argentina/44/2012_EPI_ISL_128379	0.000288	1.4648189999999992	1.4900979999999981	0.06111586513090905	0.00029638502329880335	1.4158220609666556	2013-09-01	ep_star	north	2013
2013-02-01	B/Argentina/871/2012_EPI_ISL_129785	0.003275	1.4648189999999992	1.4900979999999981	0.06111586513090905	0.0033703505253596566	1.4158220609666556	2013-09-01	ep_star	north	2013
2013-02-01	B/Argentina/872/2012_EPI_ISL_129786	0.002912	3.3036779999999974	3.3394860000000013	0.06111586513090905	0.002996781902243456	3.2499977277749688	2013-09-01	ep_star	north	2013
2013-02-01	B/Argentina/9410/2012_EPI_ISL_129639	0.002019	3.305535999999998	3.3716520000000014	0.06111586513090905	0.0020777825070843192	3.2519098228211116	2013-09-01	ep_star	north	2013
2013-02-01	B/BRISBANE/28/2012_EPI_ISL_128710	2.5e-05	1.4648189999999992	1.4900979999999981	0.06111586513090905	2.5727866605798904e-05	1.4158220609666556	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangkok/282/2012_EPI_ISL_132487	0.014218999999999999	3.386000999999998	3.448322000000001	-0.7652846090482901	0.009035949758761166	3.357576836558856	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangladesh/1005/2012_EPI_ISL_129664	0.001093	2.462628999999998	2.4900869999999995	0.06111586513090905	0.001124822328005528	2.413572416310645	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangladesh/3249/2012_EPI_ISL_133074	0.010444	3.1202919999999983	2.713766	0.06111586513090905	0.010748073553238549	3.0612725059601287	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangladesh/3849/2012_EPI_ISL_133087	0.000337	2.261590999999999	1.8214909999999989	0.06111586513090905	0.00034681164184616924	2.2066812624427814	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangladesh/6704/2012_EPI_ISL_125888	3.6e-05	2.3180629999999978	2.484417999999999	0.06111586513090905	3.704812791235042e-05	2.277862021058307	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangladesh/7075/2012_EPI_ISL_131836	0.009548000000000001	2.261590999999999	1.8214909999999989	0.06111586513090905	0.009825986814086717	2.2066812624427814	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangladesh/7824/2012_EPI_ISL_133075	0.010444	3.2406529999999982	2.8214799999999993	0.06111586513090905	0.010748073553238549	3.185155883063367	2013-09-01	ep_star	north	2013
2013-02-01	B/Bangladesh/8007/2012_EPI_ISL_133088	0.0007509999999999	3.2600849999999983	2.746892	0.06111586513090905	0.000772865112838096	3.2051355322171053	2013-09-01	ep_star	north	2013
2013-02-01	B/Bolivia/2142/2012_EPI_ISL_129668	6.6e-05	3.4643469999999974	3.490076000000001	0.06111586513090905	6.79215678393091e-05	3.4153445517624523	2013-09-01	ep_star	north	2013
2013-02-01	B/Bolivia/2376/2012_EPI_ISL_133082	0.0001	3.4141069999999982	3.448322000000001	0.06111586513090905	0.00010291146642319562	3.375307070007853	2013-09-01	ep_star	north	2013
2013-02-01	B/Bolivia/3136/2012_EPI_ISL_129723	0.001369	6.534826999999999	7.196368	0.06111586513090905	0.0014088579753335478	6.541535618529016	2013-09-01	ep_star	north	2013
2013-02-01	B/Buenos_Aires/1001528/2012_EPI_ISL_132542	0.00015800000000000002	3.4491929999999975	3.490076000000001	0.06111586513090905	0.00016260011694864908	3.4056482943630715	2013-09-01	ep_star	north	2013
2013-02-01	B/Buenos_Aires/1002077/2012_EPI_ISL_132543	0.000198	3.199304999999997	3.3457700000000004	0.06111586513090905	0.0002037647035179273	3.1425859429250873	2013-09-01	ep_star	north	2013
2013-02-01	B/Buenos_Aires/1003043/2012_EPI_ISL_132544	0.000288	1.4648189999999992	1.4900979999999981	0.06111586513090905	0.00029638502329880335	1.4158220609666556	2013-09-01	ep_star	north	2013
2013-02-01	B/Buenos_Aires/2367/2012_EPI_ISL_132545	0.00032	2.464108999999998	2.4900869999999995	0.06111586513090905	0.000329316692554226	2.4150955060137083	2013-09-01	ep_star	north	2013
2013-02-01	B/Buenos_Aires/R235/2012_EPI_ISL_132546	0.003814	2.457186999999998	2.4825589999999997	0.06111586513090905	0.00392504332938068	2.4079719743078947	2013-09-01	ep_star	north	2013
2013-02-01	B/CANBERRA/1/2012_EPI_ISL_128712	2.6000000000000002e-05	3.4314279999999973	3.4199090000000005	0.06111586513090905	2.675698127003086e-05	3.388006509127569	2013-09-01	ep_star	north	2013
2013-02-01	B/CHRISTCHURCH/1/2012_EPI_ISL_128723	4.9e-05	2.464538999999998	2.446714	0.06111586513090905	5.042661854736585e-05	2.415538025319328	2013-09-01	ep_star	north	2013
2013-02-01	B/CHRISTCHURCH/501/2012_EPI_ISL_128722	0.000198	3.4201589999999977	3.489840000000001	0.06111586513090905	0.0002037647035179273	3.3698700329793705	2013-09-01	ep_star	north	2013
2013-02-01	B/CHRISTCHURCH/506/2012_EPI_ISL_128741	0.000437	2.420558999999998	2.4898509999999994	0.06111586513090905	0.0004497231082693648	2.370277562386406	2013-09-01	ep_star	north	2013
2013-02-01	B/Caen/1623/2012_EPI_ISL_134054	0.014986000000000001	2.434842999999998	2.4899149999999994	0.06111586513090905	0.015422312358180095	2.3849774362502956	2013-09-01	ep_star	north	2013
