timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	B/ALICE_SPRINGS/11/2012_EPI_ISL_128721	0.00015800000000000002	2.323519999999998	2.3823729999999994	0.9536300282406038	0.00011993033368229741	1.3611144990452062	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Alaska/12/2012_EPI_ISL_128369	4.6e-05	2.454278999999998	2.4900869999999995	0.9536300282406038	3.491642626193469e-05	1.3822395953771565	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Argentina/35/2012_EPI_ISL_128371	0.00015800000000000002	2.199704999999999	2.345780999999999	0.9536300282406038	0.00011993033368229741	1.242097570774136	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Argentina/44/2012_EPI_ISL_128379	0.000288	1.4648189999999992	1.4900979999999981	3.01111152462132	0.0007259448212968222	0.3846966878358857	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Argentina/871/2012_EPI_ISL_129785	0.003275	1.4648189999999992	1.4900979999999981	3.01111152462132	0.008255101700510737	0.3846966878358857	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Argentina/872/2012_EPI_ISL_129786	0.002912	3.3036779999999974	3.3394860000000013	-1.1038514681401124	0.0006656166194246399	2.3656404735334355	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Argentina/9410/2012_EPI_ISL_129639	0.002019	3.305535999999998	3.3716520000000014	-1.1038514681401124	0.0004614972371628942	2.3660757793639164	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/BRISBANE/28/2012_EPI_ISL_128710	2.5e-05	1.4648189999999992	1.4900979999999981	3.01111152462132	6.301604351534916e-05	0.3846966878358857	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangkok/282/2012_EPI_ISL_132487	0.014218999999999999	3.386000999999998	3.448322000000001	-1.1038514681401124	0.003250138293818322	2.3652350274805016	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangladesh/1005/2012_EPI_ISL_129664	0.001093	2.462628999999998	2.4900869999999995	0.9536300282406038	0.0008296446500933611	1.3830373985356994	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangladesh/3249/2012_EPI_ISL_133074	0.010444	3.1202919999999983	2.713766	-1.1038514681401124	0.0023872596062056795	2.2298146874386995	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangladesh/3849/2012_EPI_ISL_133087	0.000337	2.261590999999999	1.8214909999999989	0.9536300282406038	0.00025580077500591284	1.2533968762293788	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangladesh/6704/2012_EPI_ISL_125888	3.6e-05	2.3180629999999978	2.484417999999999	0.9536300282406038	2.7325898813688015e-05	1.3841247665814498	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangladesh/7075/2012_EPI_ISL_131836	0.009548000000000001	2.261590999999999	1.8214909999999989	0.9536300282406038	0.007247435607585922	1.2533968762293788	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangladesh/7824/2012_EPI_ISL_133075	0.010444	3.2406529999999982	2.8214799999999993	-1.1038514681401124	0.0023872596062056795	2.2485874405907054	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bangladesh/8007/2012_EPI_ISL_133088	0.0007509999999999	3.2600849999999983	2.746892	-1.1038514681401124	0.00017166142897933996	2.2530535533714198	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bolivia/2142/2012_EPI_ISL_129668	6.6e-05	3.4643469999999974	3.490076000000001	-1.1038514681401124	1.5086090962234284e-05	2.3845906280448785	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bolivia/2376/2012_EPI_ISL_133082	0.0001	3.4141069999999982	3.448322000000001	-1.1038514681401124	2.2857713579142852e-05	2.371659416459056	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Bolivia/3136/2012_EPI_ISL_129723	0.001369	6.534826999999999	7.196368	-9.333777453662975	2.5732356531636805e-06	6.298091435978947	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Buenos_Aires/1001528/2012_EPI_ISL_132542	0.00015800000000000002	3.4491929999999975	3.490076000000001	-1.1038514681401124	3.611518745504571e-05	2.3835207030643955	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Buenos_Aires/1002077/2012_EPI_ISL_132543	0.000198	3.199304999999997	3.3457700000000004	-1.1038514681401124	4.5258272886702844e-05	2.2420070542283628	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Buenos_Aires/1003043/2012_EPI_ISL_132544	0.000288	1.4648189999999992	1.4900979999999981	3.01111152462132	0.0007259448212968222	0.3846966878358857	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Buenos_Aires/2367/2012_EPI_ISL_132545	0.00032	2.464108999999998	2.4900869999999995	0.9536300282406038	0.00024289687834389348	1.3841607965980398	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Buenos_Aires/R235/2012_EPI_ISL_132546	0.003814	2.457186999999998	2.4825589999999997	0.9536300282406038	0.0028950271687612802	1.3789066334983635	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/CANBERRA/1/2012_EPI_ISL_128712	2.6000000000000002e-05	3.4314279999999973	3.4199090000000005	-1.1038514681401124	5.943005530577141e-06	2.376760117016875	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/CHRISTCHURCH/1/2012_EPI_ISL_128723	4.9e-05	2.464538999999998	2.446714	0.9536300282406038	3.7193584496408685e-05	1.3844871892783144	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/CHRISTCHURCH/501/2012_EPI_ISL_128722	0.000198	3.4201589999999977	3.489840000000001	-1.1038514681401124	4.5258272886702844e-05	2.3808754625675412	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/CHRISTCHURCH/506/2012_EPI_ISL_128741	0.000437	2.420558999999998	2.4898509999999994	0.9536300282406038	0.0003317060494883795	1.3809659791133153	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Caen/1623/2012_EPI_ISL_134054	0.014986000000000001	2.434842999999998	2.4899149999999994	0.9536300282406038	0.011375164433942462	1.3619463589680012	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/California/07/2012_EPI_ISL_128953	0.00041500000000000006	2.463984999999998	2.4900869999999995	0.9536300282406038	0.0003150068891022369	1.3840666740576817	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Catalonia/5479/2012_EPI_ISL_134241	0.03472	2.261590999999999	1.8214909999999989	0.9536300282406038	0.02635431130031244	1.2533968762293788	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Connecticut/04/2012_EPI_ISL_133980	0.0342	2.123183999999998	2.0876200000000003	0.9536300282406038	0.025959603873003615	1.2594646053171794	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Costa_Rica/725/2012_EPI_ISL_129638	0.000826	2.463162999999998	2.456231	0.9536300282406038	0.0006269775672251751	1.3834427327014358	2013-09-01	distance_from_consensus	north	2013
2013-02-01	B/Costa_Rica/9188/2012_EPI_ISL_129562	0.000259	2.464296999999998	2.4887349999999997	0.9536300282406038	0.0001965946609095888	1.384303498514067	2013-09-01	distance_from_consensus	north	2013
