timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	A/Alberta/RV2960/2012_EPI_ISL_132701	0.011016	10.867163000000009	11.433716000000002	-0.17679631604138812	0.009354352492864518	10.89372369004551	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Argentina/1033/2012_EPI_ISL_131788	0.002182	9.181779999999995	9.421135999999995	0.17846341686548253	0.0022795309826110217	9.153015842449278	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Argentina/40/2012_EPI_ISL_127845	8.7e-05	7.817538999999996	7.5459740000000055	0.17846341686548253	9.088872387129189e-05	7.847341964043553	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Argentina/41/2012_EPI_ISL_128220	8.7e-05	8.817186999999997	8.545955999999997	-0.17679631604138812	7.38769668554115e-05	8.847046456176136	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Argentina/42/2012_EPI_ISL_128963	8.7e-05	9.774424999999999	9.485897	-0.17679631604138812	7.38769668554115e-05	9.797614811432748	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Argentina/48/2012_EPI_ISL_128964	9.2e-05	6.818767999999999	6.5459920000000045	0.17846341686548253	9.611221374895234e-05	6.848547219300092	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Argentina/631/2012_EPI_ISL_130207	0.000971	9.181779999999995	9.421135999999995	0.17846341686548253	0.00101440173424166	9.153015842449278	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Athens.GR/46/2013_EPI_ISL_134267	0.02281	5.886329000000001	4.870345000000005	-0.17679631604138812	0.019369351884734896	5.990748907886476	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Athens_GR/1/2013_EPI_ISL_134394	0.02106	5.115662999999997	3.872840999999999	0.17846341686548253	0.02200133936470583	5.222225496762074	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Ayutthaya/283/2012_EPI_ISL_132102	0.0026920000000000004	8.017489999999997	8.37694800000001	1.4051856815972583	0.005752302586955775	7.983092049055567	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Bangladesh/1007/2012_EPI_ISL_129632	0.000103	9.879386999999998	10.296468000000003	0.17846341686548253	0.00010760389147980533	9.859707826207506	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Bangladesh/1007/2012_EPI_ISL_129690	0.000103	7.980551999999996	8.462072000000003	0.17846341686548253	0.00010760389147980533	7.978110505742427	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Bangladesh/2021/2012_EPI_ISL_129633	0.000166	10.935213000000005	11.416421000000005	2.6319079463290342	0.0007255221401064286	10.91552228004378	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Bangladesh/2021/2012_EPI_ISL_129692	0.000166	7.987984999999997	8.457169000000004	1.4051856815972583	0.00035471108077067553	7.9773173491362765	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Bangladesh/2021/2012_EPI_ISL_131353	0.000166	9.960682999999994	10.424705000000003	2.6319079463290342	0.0007255221401064286	9.951934890470225	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Bangladesh/2021/2012_EPI_ISL_131790	0.000166	9.960090999999997	10.386318000000001	2.2766482134221633	0.0005897252465928805	9.928413416710816	2013-09-01	ep_star-ne_star	north	2013
2013-02-01	A/Bangladesh/2249/2012_EPI_ISL_129627	0.000174	9.984906999999994	10.468948000000008	0.17846341686548253	0.00018177744774258378	9.973516677923447	2013-09-01	ep_star-ne_star	north	2013
