timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	B/ALICE_SPRINGS/11/2012_EPI_ISL_128721	0.00015800000000000002	2.323519999999998	2.3823729999999994	0.5051088532815537	0.000181091106491725	2.122658913946394	2013-09-01	ne_star	north	2013
2013-02-01	B/Alaska/12/2012_EPI_ISL_128369	4.6e-05	2.454278999999998	2.4900869999999995	0.5051088532815537	5.272272720645157e-05	2.2213317493759694	2013-09-01	ne_star	north	2013
2013-02-01	B/Argentina/35/2012_EPI_ISL_128371	0.00015800000000000002	2.199704999999999	2.345780999999999	0.5051088532815537	0.000181091106491725	1.9926321271712248	2013-09-01	ne_star	north	2013
2013-02-01	B/Argentina/44/2012_EPI_ISL_128379	0.000288	1.4648189999999992	1.4900979999999981	0.5051088532815537	0.0003300901181621316	1.2334075461987333	2013-09-01	ne_star	north	2013
2013-02-01	B/Argentina/871/2012_EPI_ISL_129785	0.003275	1.4648189999999992	1.4900979999999981	0.5051088532815537	0.0037536289478506285	1.2334075461987333	2013-09-01	ne_star	north	2013
2013-02-01	B/Argentina/872/2012_EPI_ISL_129786	0.002912	3.3036779999999974	3.3394860000000013	-2.393156760166658	0.0006154450659358994	3.1566106411103987	2013-09-01	ne_star	north	2013
2013-02-01	B/Argentina/9410/2012_EPI_ISL_129639	0.002019	3.305535999999998	3.3716520000000014	-2.393156760166658	0.00042671139702080385	3.1570220214635643	2013-09-01	ne_star	north	2013
2013-02-01	B/BRISBANE/28/2012_EPI_ISL_128710	2.5e-05	1.4648189999999992	1.4900979999999981	0.5051088532815537	2.8653656090462817e-05	1.2334075461987333	2013-09-01	ne_star	north	2013
2013-02-01	B/Bangkok/282/2012_EPI_ISL_132487	0.014218999999999999	3.386000999999998	3.448322000000001	0.5051088532815537	0.01629705343801163	3.1557472131813182	2013-09-01	ne_star	north	2013
2013-02-01	B/Bangladesh/1005/2012_EPI_ISL_129664	0.001093	2.462628999999998	2.4900869999999995	-2.393156760166658	0.00023100324761948416	2.2329455397034947	2013-09-01	ne_star	north	2013
2013-02-01	B/Bangladesh/3249/2012_EPI_ISL_133074	0.010444	3.1202919999999983	2.713766	0.5051088532815537	0.011970351368351744	2.8911385568551125	2013-09-01	ne_star	north	2013
