timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	B/Alaska/01/2012_EPI_ISL_117023	0.000138	2.9483560000000004	3.4290049999999974	-0.23381238090648704	0.00012450408052224835	2.8431657966432686	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Alaska/12/2012_EPI_ISL_128369	0.013722	1.9780890000000007	2.454278999999998	-0.001202838378472906	0.01363998881606325	1.8646146256329805	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Argentina/35/2012_EPI_ISL_128371	0.020194	1.8813110000000002	2.199704999999999	-0.001202838378472906	0.020073308129396682	1.7792638144225912	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Argentina/44/2012_EPI_ISL_128379	0.023578	1.0062129999999996	1.4648189999999992	0.23140670414954126	0.02582234403001097	0.8923910775520879	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498	7.900000000000001e-05	2.999241	3.4648109999999974	-0.23381238090648704	7.127407508157695e-05	2.8871266759745304	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498__dup2	7.900000000000001e-05	2.999241	3.4648109999999974	-0.23381238090648704	7.127407508157695e-05	2.8871266759745304	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Athens_GR/98/2012_EPI_ISL_117496__dup2	6.3e-05	1.0062129999999996	1.4648189999999992	0.23140670414954126	6.899684764995721e-05	0.8923910775520879	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Austria/653113/2012_EPI_ISL_106892	1e-05	1.948644000000001	2.429008999999998	-0.001202838378472906	9.940233796868714e-06	1.8434148048043137	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/BRISBANE/1/2012_EPI_ISL_118621	2.7000000000000002e-05	2.9584840000000003	3.442144999999998	-0.23381238090648704	2.4359494015222503e-05	2.8522772480747203	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/BRISBANE/15/2012_EPI_ISL_122553	0.003629	1.9822810000000006	2.422831999999998	-0.001202838378472906	0.0036073108448836564	1.8705351595542943	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Bahrain/10/2012_EPI_ISL_122136	6.3e-05	1.9797690000000006	2.464764999999998	-0.001202838378472906	6.262347292027289e-05	1.8669090729248041	2013-02-01	distance_from_consensus	south	2013
2012-09-01	B/Bahrain/15/2012_EPI_ISL_122140	7.099999999999999e-05	1.0062129999999996	1.4648189999999992	0.23140670414954126	7.775835211344383e-05	0.8923910775520879	2013-02-01	distance_from_consensus	south	2013
