timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	B/Alaska/01/2012_EPI_ISL_117023	0.000138	2.9483560000000004	3.4290049999999974	0.5020135766512825	0.00015899752905165605	2.779083242224134	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Alaska/12/2012_EPI_ISL_128369	0.013722	1.9780890000000007	2.454278999999998	-2.344510407490694	0.004828731001792929	1.8242296314345132	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Argentina/35/2012_EPI_ISL_128371	0.020194	1.8813110000000002	2.199704999999999	0.5020135766512825	0.023266638417892335	1.7415772825166709	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Argentina/44/2012_EPI_ISL_128379	0.023578	1.0062129999999996	1.4648189999999992	0.5020135766512825	0.02716553434768077	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498	7.900000000000001e-05	2.999241	3.4648109999999974	0.5020135766512825	9.1020324602035e-05	2.8313774154756133	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498__dup2	7.900000000000001e-05	2.999241	3.4648109999999974	0.5020135766512825	9.1020324602035e-05	2.8313774154756133	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Athens_GR/98/2012_EPI_ISL_117496__dup2	6.3e-05	1.0062129999999996	1.4648189999999992	0.5020135766512825	7.258582848010384e-05	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Austria/653113/2012_EPI_ISL_106892	1e-05	1.948644000000001	2.429008999999998	0.5020135766512825	1.152156007620696e-05	1.7794012372822348	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/BRISBANE/1/2012_EPI_ISL_118621	2.7000000000000002e-05	2.9584840000000003	3.442144999999998	-2.351257341257991	9.474547190718952e-06	2.784710537526308	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/BRISBANE/15/2012_EPI_ISL_122553	0.003629	1.9822810000000006	2.422831999999998	0.5020135766512825	0.004181174151655506	1.8064476884859617	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Bahrain/10/2012_EPI_ISL_122136	6.3e-05	1.9797690000000006	2.464764999999998	0.5020135766512825	7.258582848010384e-05	1.8062411402089737	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Bahrain/15/2012_EPI_ISL_122140	7.099999999999999e-05	1.0062129999999996	1.4648189999999992	0.5020135766512825	8.180307654106941e-05	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Bangladesh/6704/2012_EPI_ISL_125888	0.012577	1.9627840000000008	2.3180629999999978	0.5020135766512825	0.014490666107845492	1.7922790623540268	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Beijing-Chaoyang/1147/2012_EPI_ISL_117040	2.8999999999999997e-05	4.730687000000002	4.831004999999997	0.5020135766512825	3.341252422100018e-05	4.589224874590167	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Beijing-Xicheng/1241/2012_EPI_ISL_117041	6.3e-05	1.0062129999999996	1.4648189999999992	0.5020135766512825	7.258582848010384e-05	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Brazil/0944/2012_EPI_ISL_125887	0.000162	1.9207470000000004	2.309577999999998	0.5020135766512825	0.00018664927323455276	1.754850310129823	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/CHANTHABURI/32/2012_EPI_ISL_122528	0.000234	2.9621530000000007	3.4346619999999977	0.5020135766512825	0.00026960450578324287	2.7884278837188408	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/CHIANG_RAI/50/2012_EPI_ISL_122581	0.000593	1.8648689999999988	2.2603179999999976	0.5020135766512825	0.0006832285125190728	1.70343971038082	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/CHIBA-C/25/2012_EPI_ISL_122194	0.00093	2.0043410000000006	2.4518009999999983	-1.1083651283394533	0.0005477551800846872	1.8329117498280796	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/California/02/2012_EPI_ISL_105784	2.8999999999999997e-05	1.0062129999999996	1.4648189999999992	0.5020135766512825	3.341252422100018e-05	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/California/03/2012_EPI_ISL_115045	3.5e-05	1.0062129999999996	1.4648189999999992	0.5020135766512825	4.0325460266724356e-05	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Centre/1376/2012_EPI_ISL_128112	0.002838	1.0062129999999996	1.4648189999999992	0.5020135766512825	0.003269818749627535	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Centre/1376/2012_EPI_ISL_128112__dup2	0.002838	1.0062129999999996	1.4648189999999992	0.5020135766512825	0.003269818749627535	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Chiang_Rai/55/2012_EPI_ISL_122166	0.00065	1.0062129999999996	1.4648189999999992	0.5020135766512825	0.0007489014049534523	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Connecticut/01/2012_EPI_ISL_120322	0.000124	2.0059530000000008	2.464814999999998	-1.1083651283394533	7.303402401129162e-05	1.8338611921402264	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/DARWIN/1/2012_EPI_ISL_118576	1.3000000000000001e-05	2.9011750000000007	3.3087789999999977	-0.9254806305636651	8.2630608417086e-06	2.7675351711947886	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/DARWIN/13/2012_EPI_ISL_122533	0.001603	1.9867100000000004	2.464814999999998	0.5020135766512825	0.0018469060802159757	1.8117482607957116	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/DARWIN/19/2012_EPI_ISL_122537	0.0038829999999999997	1.0062129999999996	1.4648189999999992	0.5020135766512825	0.004473821777591162	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/DARWIN/23/2012_EPI_ISL_122555	0.006428	1.9867100000000004	2.464814999999998	0.5020135766512825	0.007406058816985833	1.8117482607957116	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/DARWIN/3/2012_EPI_ISL_118612	3.9e-05	2.9011750000000007	3.3087789999999977	-0.9254806305636651	2.4789182525125794e-05	2.7675351711947886	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/DARWIN/40/2012_EPI_ISL_122587	0.012020999999999999	1.0062129999999996	1.4648189999999992	0.5020135766512825	0.013850067367608385	0.8340072601882479	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/DARWIN/8/2012_EPI_ISL_121695	0.001105	2.9185250000000007	3.309573999999998	0.5020135766512825	0.0012731323884208692	2.7523040453529837	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Daejeon/3330/2012_EPI_ISL_128382	0.0025440000000000003	1.9586210000000002	2.4421489999999975	0.5020135766512825	0.0029310848833870506	1.7847544011707064	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/01/2012_EPI_ISL_128353	0.0021079999999999996	3.7999439999999987	4.364134999999998	0.5020135766512825	0.002428744864064427	3.62100214852835	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/01/2012_EPI_ISL_128353__dup2	0.0021079999999999996	3.7999439999999987	4.364134999999998	0.5020135766512825	0.002428744864064427	3.62100214852835	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/03/2012_EPI_ISL_128354	0.0021899999999999997	3.8077979999999987	4.375208999999999	-1.1083651283394533	0.001289875101489747	3.62869809311279	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/04/2012_EPI_ISL_128355	0.0021899999999999997	2.839907000000001	3.3932739999999972	0.5020135766512825	0.0025232216566893235	2.659752245116763	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/04/2012_EPI_ISL_128355__dup2	0.0021899999999999997	2.839907000000001	3.3932739999999972	0.5020135766512825	0.0025232216566893235	2.659752245116763	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/05/2012_EPI_ISL_128356	0.002274	4.747248000000003	5.086337999999995	-2.7187438333301897	0.0006846778232076759	4.578978618898351	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/06/2012_EPI_ISL_128357	0.002361	2.839907000000001	3.3932739999999972	0.5020135766512825	0.002720240333992463	2.659752245116763	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/06/2012_EPI_ISL_128357__dup2	0.002361	2.839907000000001	3.3932739999999972	0.5020135766512825	0.002720240333992463	2.659752245116763	2013-02-01	ep_x-ne_star	south	2013
2012-09-01	B/Dakar/07/2012_EPI_ISL_128358	0.0027370000000000003	2.839907000000001	3.3932739999999972	0.5020135766512825	0.003153450992857845	2.659752245116763	2013-02-01	ep_x-ne_star	south	2013
