timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	B/Alaska/01/2012_EPI_ISL_117023	0.000138	2.9483560000000004	3.4290049999999974	0.21294063811400027	0.00014634934701510078	2.8323229245188006	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Alaska/12/2012_EPI_ISL_128369	0.013722	1.9780890000000007	2.454278999999998	0.23534636401500125	0.014688707033936063	1.8557307490310875	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Argentina/35/2012_EPI_ISL_128371	0.020194	1.8813110000000002	2.199704999999999	0.2432434296402865	0.021687901269709133	1.7953070821372827	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Argentina/44/2012_EPI_ISL_128379	0.023578	1.0062129999999996	1.4648189999999992	0.22991100714516802	0.025181961561073146	0.8855129382819233	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498	7.900000000000001e-05	2.999241	3.4648109999999974	0.3077963623562838	8.715724814010158e-05	2.8826581375999494	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498__dup2	7.900000000000001e-05	2.999241	3.4648109999999974	0.3077963623562838	8.715724814010158e-05	2.8826581375999494	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Athens_GR/98/2012_EPI_ISL_117496__dup2	6.3e-05	1.0062129999999996	1.4648189999999992	0.31515962818395926	6.971871840268463e-05	0.8855129382819233	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Austria/653113/2012_EPI_ISL_106892	1e-05	1.948644000000001	2.429008999999998	-8.955415864116896	2.3251033962582473e-07	1.83261562321283	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/BRISBANE/1/2012_EPI_ISL_118621	2.7000000000000002e-05	2.9584840000000003	3.442144999999998	-8.95330114606034	6.283313163032243e-07	2.8377237046964487	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/BRISBANE/15/2012_EPI_ISL_122553	0.003629	1.9822810000000006	2.422831999999998	0.24962306782713164	0.00390783823532928	1.8597917312995507	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Bahrain/10/2012_EPI_ISL_122136	6.3e-05	1.9797690000000006	2.464764999999998	0.22018046217743198	6.701350631853177e-05	1.8597576103905744	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Bahrain/15/2012_EPI_ISL_122140	7.099999999999999e-05	1.0062129999999996	1.4648189999999992	0.20964106169053978	7.519223139479346e-05	0.8855129382819233	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Bangladesh/6704/2012_EPI_ISL_125888	0.012577	1.9627840000000008	2.3180629999999978	0.20908269614028852	0.01331651693312398	1.8461983796218033	2013-02-01	ne_star-lbi	south	2013
2012-09-01	B/Beijing-Chaoyang/1147/2012_EPI_ISL_117040	2.8999999999999997e-05	4.730687000000002	4.831004999999997	-8.932560941213383	6.807317462937327e-07	4.645452199901063	2013-02-01	ne_star-lbi	south	2013
