timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	A/Alabama/17/2012_EPI397564	0.0014039999999999999	6.605402999999978	22.457735	-0.09309477645983319	0.0013273005291875666	6.967814424697405	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Alabama/17/2012_EPI399657	0.0014039999999999999	6.605402999999978	22.457735	-0.09309477645983319	0.0013273005291875666	6.967814424697405	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Alaska/22/2012_EPI404924	0.0035549999999999996	14.52050799999998	30.31343499999999	0.13477510244004645	0.0038385744320595058	14.58150500525829	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Arges/126697/2012_EPI416328	0.007885	8.231376999999982	24.027972000000005	-0.13959583021014801	0.007254765058843693	8.617174867602147	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Arizona/09/2012_EPI404980	0.006591	5.736338999999982	22.748757999999995	0.04868929090861098	0.0067681944416081285	6.029570480062563	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Attecoube/GR_619/2012_EPI405870	1.4999999999999999e-05	10.600894999999984	27.140078000000013	0.1415442431758536	1.62605976501741e-05	10.68114954438046	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Attecoube/GR_741/2012_EPI405872	7.8e-05	10.600894999999984	27.140078000000013	0.1415442431758536	8.455510778090531e-05	10.68114954438046	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Bangladesh/1621/2012_EPI406063	0.002916	9.927437999999983	26.971807000000016	0.11947095816779092	0.0031206190307105186	10.025634908636512	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Bangladesh/2596/2012_EPI397570	0.00031600000000000004	7.406915999999979	24.154569999999985	0.15743700838165742	0.0003457471236972009	7.675722021250209	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Belem/119244/2012_EPI395227	1.4000000000000001e-05	15.526243999999972	32.54885399999999	0.13694564213250573	1.5135900984027918e-05	15.47614016329679	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Bermuda/1915/2012_EPI394812	2e-05	18.739503999999975	35.20022700000001	0.1191766477010186	2.1399748459339332e-05	18.70034280873979	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Brazil/8751/2012_EPI387760	1.2e-05	14.526287999999978	31.548953000000008	0.13683527570746545	1.2972794194126603e-05	14.476170435098755	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Bretagne/1867/2012_EPI416323	0.015609999999999999	12.432123999999991	29.433552999999986	0.12892568191291032	0.016797760354987007	12.492155304643974	2013-09-01	delta_frequency	north	2013
2013-02-01	A/British_Columbia/RV2820/2012_EPI394796	4.9e-05	7.298225999999979	24.444709999999986	0.20128926793100496	5.500181698327687e-05	7.5656151688567945	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Buenos_Aires/1004423/2012_EPI405878	0.000202	6.333528999999976	23.444819000000003	0.23723193368579737	0.00023154637444946984	6.603587086330062	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Buenos_Aires/10435982/2012_EPI405880	0.00023500000000000002	7.071121999999981	24.057305999999993	0.18455036013322546	0.0002612210735507069	7.354945177560629	2013-09-01	delta_frequency	north	2013
2013-02-01	A/CAMBODIA/10/2012_EPI394253	0.000156	9.586024999999982	26.731889000000006	0.12892568191291032	0.0001678699945789861	9.65868039905275	2013-09-01	delta_frequency	north	2013
2013-02-01	A/CAMBODIA/31/2012_EPI394322	4.6e-05	8.58635299999998	25.733607999999975	0.12892568191291032	4.950012660662411e-05	8.6590161390419	2013-09-01	delta_frequency	north	2013
2013-02-01	A/CAMBODIA/5/2012_EPI394250	6.9e-05	8.536268999999983	25.48332499999999	0.23200792290055636	7.885191838255896e-05	8.753324806771372	2013-09-01	delta_frequency	north	2013
2013-02-01	A/CHIBA-C/30/2012_EPI413253	0.014155000000000001	6.473931999999979	23.361244999999986	-0.10718489005664535	0.013272186200635519	6.780928571293135	2013-09-01	delta_frequency	north	2013
2013-02-01	A/CHIBA/19/2012_EPI413257	0.016334	7.441247999999983	24.36122999999999	-0.10718489005664535	0.015315287135371287	7.750297997022394	2013-09-01	delta_frequency	north	2013
2013-02-01	A/CHRISTCHURCH/9/2012_EPI394161	1.8e-05	7.685148999999981	24.701356999999987	-0.0006445010844050055	1.7959567511624373e-05	7.976850441168362	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Cairo/136/2012_EPI417003	0.02114	11.39513499999998	28.745411999999988	0.11759472894210758	0.022598670761092298	11.462329223877827	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Cairo/140/2012_EPI417005	0.02114	8.71671399999998	26.04982199999998	0.11759472894210758	0.022598670761092298	8.7999138734502	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Cairo/47/2012_EPI417007	0.014883	9.473127999999985	26.502331999999985	0.10703634094658698	0.015812245485009483	9.61951400088449	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Cairo/5/2012_EPI417009	0.012236	8.58132699999998	25.545875999999996	0.10703634094658698	0.01299997552607512	8.731805283490614	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Cairo/59/2012_EPI417011	0.0165729999999999	12.545592999999982	29.750631999999996	0.11759472894210758	0.017716545436309385	12.617300224939475	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Cairo/81/2012_EPI417013	0.017752	10.601293999999985	28.049668000000015	0.11759472894210758	0.018976897036466912	10.67653481742283	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Chanthaburi/324/2012_EPI406048	0.004841	6.55901899999998	23.737249	-0.0006445010844050055	0.0048301259068763095	6.846605649240417	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Clermont-Ferrand/14/2013_EPI416488	0.020368999999999998	7.247162999999978	23.028831	-0.14779973447147546	0.01865146711102376	7.631684397719828	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Colorado/17/2012_EPI391250	3.3e-05	7.116074999999976	23.218248000000003	0.26846563197220163	3.8522392533381506e-05	7.440409097977765	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Colorado/18/2012_EPI402258	0.005132	8.428045999999984	25.068172000000008	-0.08562664836543928	0.004872824515164296	8.733535776399556	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Costa_Rica/9093/2012_EPI397057	0.0001409999999999	8.950012999999979	25.82480699999999	0.1394472811000878	0.0001526627623046218	9.198581817522559	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Curico/51369/2012_EPI395236	0.000192	19.96410999999999	36.150240999999994	0.1288521042962186	0.0002066003565625078	19.942567075368135	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Dakar/04/2012_EPI417015	0.00379	7.247162999999978	23.028831	-0.14779973447147546	0.0034704237002690396	7.631684397719828	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Dakar/15/2012_EPI417021	0.004841	7.247162999999978	23.028831	-0.14779973447147546	0.004432802409763172	7.631684397719828	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Dakar/16/2012_EPI417023	0.0039109999999999995	8.19123799999998	23.646588	-0.14779973447147546	0.003581220868536204	8.573321793223055	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Delaware/10/2012_EPI399645	0.006246	5.736338999999982	22.748757999999995	0.03824126933812884	0.00637494745708168	6.029570480062563	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Delaware/15/2012_EPI417237	0.010847	5.736338999999982	22.748757999999995	0.0752875993433243	0.011312784901263702	6.029570480062563	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/67/2012_EPI408103	0.003118	7.685148999999981	24.701356999999987	-0.0006445010844050055	0.0031109961945135997	7.976850441168362	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/68/2012_EPI408105	0.002916	7.650232999999981	24.706850999999986	-0.0006445010844050055	0.0029094499368831485	7.946963824005904	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/71/2012_EPI406237	0.009956	8.613890999999978	25.56217299999998	-0.0006445010844050055	0.00993363634142957	8.907385109024052	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/71/2012_EPI408107	0.009956	8.613890999999978	25.56217299999998	-0.0006445010844050055	0.00993363634142957	8.907385109024052	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/72/2012_EPI406235	0.011304	6.473931999999979	23.361244999999986	-0.10718489005664535	0.010598996313103773	6.780928571293135	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/74/2012_EPI416256	0.013430000000000001	7.247162999999978	23.028831	-0.14779973447147546	0.012297569998578681	7.631684397719828	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/75/2012_EPI416249	0.01319	6.5713459999999815	23.727059999999998	-0.0006445010844050055	0.013160371971018082	6.859836092988312	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Denmark/88/2012_EPI416251	0.021847	8.192256999999982	23.986939000000003	-0.14779973447147546	0.02000484078622103	8.580108694993337	2013-09-01	delta_frequency	north	2013
2013-02-01	A/Dominican_Republic/6524/2012_EPI395233	1.1e-05	8.964551999999983	26.061426999999977	0.12914641476299277	1.1838511035600609e-05	9.064095748969024	2013-09-01	delta_frequency	north	2013
