timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	B/Alaska/01/2012_EPI_ISL_117023	0.000138	2.9483560000000004	3.4290049999999974	0.0	0.00013800165601987222	2.9483913806965694	2013-02-01	naive	south	2013
2012-09-01	B/Alaska/12/2012_EPI_ISL_128369	0.013722	1.9780890000000007	2.454278999999998	0.0	0.01372216466597599	1.9781127373528473	2013-02-01	naive	south	2013
2012-09-01	B/Argentina/35/2012_EPI_ISL_128371	0.020194	1.8813110000000002	2.199704999999999	0.0	0.02019424233090797	1.8813335760029095	2013-02-01	naive	south	2013
2012-09-01	B/Argentina/44/2012_EPI_ISL_128379	0.023578	1.0062129999999996	1.4648189999999992	0.0	0.023578282939395272	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498	7.900000000000001e-05	2.999241	3.4648109999999974	0.0	7.900094801137614e-05	2.9992769913238955	2013-02-01	naive	south	2013
2012-09-01	B/Athens_GR/152/2012_EPI_ISL_117498__dup2	7.900000000000001e-05	2.999241	3.4648109999999974	0.0	7.900094801137614e-05	2.9992769913238955	2013-02-01	naive	south	2013
2012-09-01	B/Athens_GR/98/2012_EPI_ISL_117496__dup2	6.3e-05	1.0062129999999996	1.4648189999999992	0.0	6.30007560090721e-05	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Austria/653113/2012_EPI_ISL_106892	1e-05	1.948644000000001	2.429008999999998	0.0	1.0000120001440018e-05	1.948667384008608	2013-02-01	naive	south	2013
2012-09-01	B/BRISBANE/1/2012_EPI_ISL_118621	2.7000000000000002e-05	2.9584840000000003	3.442144999999998	0.0	2.7000324003888046e-05	2.958519502234027	2013-02-01	naive	south	2013
2012-09-01	B/BRISBANE/15/2012_EPI_ISL_122553	0.003629	1.9822810000000006	2.422831999999998	0.0	0.0036290435485225817	1.9823047876574509	2013-02-01	naive	south	2013
2012-09-01	B/Bahrain/10/2012_EPI_ISL_122136	6.3e-05	1.9797690000000006	2.464764999999998	0.0	6.30007560090721e-05	1.9797927575130891	2013-02-01	naive	south	2013
2012-09-01	B/Bahrain/15/2012_EPI_ISL_122140	7.099999999999999e-05	1.0062129999999996	1.4648189999999992	0.0	7.100085201022411e-05	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Bangladesh/6704/2012_EPI_ISL_125888	0.012577	1.9627840000000008	2.3180629999999978	0.0	0.012577150925811109	1.962807553690643	2013-02-01	naive	south	2013
2012-09-01	B/Beijing-Chaoyang/1147/2012_EPI_ISL_117040	2.8999999999999997e-05	4.730687000000002	4.831004999999997	0.0	2.9000348004176044e-05	4.730743768925231	2013-02-01	naive	south	2013
2012-09-01	B/Beijing-Xicheng/1241/2012_EPI_ISL_117041	6.3e-05	1.0062129999999996	1.4648189999999992	0.0	6.30007560090721e-05	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Brazil/0944/2012_EPI_ISL_125887	0.000162	1.9207470000000004	2.309577999999998	0.0	0.00016200194402332828	1.92077004924059	2013-02-01	naive	south	2013
2012-09-01	B/CHANTHABURI/32/2012_EPI_ISL_122528	0.000234	2.9621530000000007	3.4346619999999977	0.0	0.00023400280803369638	2.9621885462625555	2013-02-01	naive	south	2013
2012-09-01	B/CHIANG_RAI/50/2012_EPI_ISL_122581	0.000593	1.8648689999999988	2.2603179999999976	0.0	0.0005930071160853929	1.8648913786965422	2013-02-01	naive	south	2013
2012-09-01	B/CHIBA-C/25/2012_EPI_ISL_122194	0.00093	2.0043410000000006	2.4518009999999983	0.0	0.0009300111601339215	2.004365052380628	2013-02-01	naive	south	2013
2012-09-01	B/California/02/2012_EPI_ISL_105784	2.8999999999999997e-05	1.0062129999999996	1.4648189999999992	0.0	2.9000348004176044e-05	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/California/03/2012_EPI_ISL_115045	3.5e-05	1.0062129999999996	1.4648189999999992	0.0	3.5000420005040055e-05	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Centre/1376/2012_EPI_ISL_128112	0.002838	1.0062129999999996	1.4648189999999992	0.0	0.0028380340564086765	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Centre/1376/2012_EPI_ISL_128112__dup2	0.002838	1.0062129999999996	1.4648189999999992	0.0	0.0028380340564086765	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Chiang_Rai/55/2012_EPI_ISL_122166	0.00065	1.0062129999999996	1.4648189999999992	0.0	0.000650007800093601	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/Connecticut/01/2012_EPI_ISL_120322	0.000124	2.0059530000000008	2.464814999999998	0.0	0.0001240014880178562	2.00597707172486	2013-02-01	naive	south	2013
2012-09-01	B/DARWIN/1/2012_EPI_ISL_118576	1.3000000000000001e-05	2.9011750000000007	3.3087789999999977	0.0	1.3000156001872022e-05	2.9012098145177747	2013-02-01	naive	south	2013
2012-09-01	B/DARWIN/13/2012_EPI_ISL_122533	0.001603	1.9867100000000004	2.464814999999998	0.0	0.0016030192362308346	1.9867338408060888	2013-02-01	naive	south	2013
2012-09-01	B/DARWIN/19/2012_EPI_ISL_122537	0.0038829999999999997	1.0062129999999996	1.4648189999999992	0.0	0.003883046596559158	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/DARWIN/23/2012_EPI_ISL_122555	0.006428	1.9867100000000004	2.464814999999998	0.0	0.006428077136925642	1.9867338408060888	2013-02-01	naive	south	2013
2012-09-01	B/DARWIN/3/2012_EPI_ISL_118612	3.9e-05	2.9011750000000007	3.3087789999999977	0.0	3.9000468005616065e-05	2.9012098145177747	2013-02-01	naive	south	2013
2012-09-01	B/DARWIN/40/2012_EPI_ISL_122587	0.012020999999999999	1.0062129999999996	1.4648189999999992	0.0	0.012021144253731042	1.006225074700895	2013-02-01	naive	south	2013
2012-09-01	B/DARWIN/8/2012_EPI_ISL_121695	0.001105	2.9185250000000007	3.309573999999998	0.0	0.0011050132601591219	2.9185600227202717	2013-02-01	naive	south	2013
2012-09-01	B/Daejeon/3330/2012_EPI_ISL_128382	0.0025440000000000003	1.9586210000000002	2.4421489999999975	0.0	0.0025440305283663403	1.9586445037340434	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/01/2012_EPI_ISL_128353	0.0021079999999999996	3.7999439999999987	4.364134999999998	0.0	0.002108025296303555	3.7999895998751936	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/01/2012_EPI_ISL_128353__dup2	0.0021079999999999996	3.7999439999999987	4.364134999999998	0.0	0.002108025296303555	3.7999895998751936	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/03/2012_EPI_ISL_128354	0.0021899999999999997	3.8077979999999987	4.375208999999999	0.0	0.0021900262803153632	3.807843694124324	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/04/2012_EPI_ISL_128355	0.0021899999999999997	2.839907000000001	3.3932739999999972	0.0	0.0021900262803153632	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/04/2012_EPI_ISL_128355__dup2	0.0021899999999999997	2.839907000000001	3.3932739999999972	0.0	0.0021900262803153632	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/05/2012_EPI_ISL_128356	0.002274	4.747248000000003	5.086337999999995	0.0	0.0022740272883274596	4.747304967659616	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/06/2012_EPI_ISL_128357	0.002361	2.839907000000001	3.3932739999999972	0.0	0.002361028332339988	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/06/2012_EPI_ISL_128357__dup2	0.002361	2.839907000000001	3.3932739999999972	0.0	0.002361028332339988	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/07/2012_EPI_ISL_128358	0.0027370000000000003	2.839907000000001	3.3932739999999972	0.0	0.0027370328443941327	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/08/2012_EPI_ISL_128359	0.003387	2.839907000000001	3.3932739999999972	0.0	0.003387040644487733	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/08/2012_EPI_ISL_128359__dup2	0.003387	2.839907000000001	3.3932739999999972	0.0	0.003387040644487733	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/09/2012_EPI_ISL_128360	0.0038829999999999997	2.839907000000001	3.3932739999999972	0.0	0.003883046596559158	2.8399410792929514	2013-02-01	naive	south	2013
2012-09-01	B/Dakar/10/2012_EPI_ISL_128361	0.006618000000000001	2.872804000000001	3.2768019999999978	0.0	0.006618079416953003	2.8728384740616884	2013-02-01	naive	south	2013
