timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	B/ALICE_SPRINGS/11/2012_EPI_ISL_128721	0.00015800000000000002	2.323519999999998	2.3823729999999994	0.3367554153745132	0.0001461570826157238	1.7257496520469804	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Alaska/12/2012_EPI_ISL_128369	4.6e-05	2.454278999999998	2.4900869999999995	-0.19168743970048724	3.1264084635993666e-05	1.7914115307889422	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Argentina/35/2012_EPI_ISL_128371	0.00015800000000000002	2.199704999999999	2.345780999999999	-0.18390504038183902	0.00010787394316090708	1.6235231024455277	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Argentina/44/2012_EPI_ISL_128379	0.000288	1.4648189999999992	1.4900979999999981	0.244646755517084	0.0002524762909770327	0.7990716621418477	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Argentina/871/2012_EPI_ISL_129785	0.003275	1.4648189999999992	1.4900979999999981	1.1665387020362004	0.004915753451919674	0.7990716621418477	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Argentina/872/2012_EPI_ISL_129786	0.002912	3.3036779999999974	3.3394860000000013	-2.410802515144285	0.000542365539812759	2.7439469895371875	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Argentina/9410/2012_EPI_ISL_129639	0.002019	3.305535999999998	3.3716520000000014	-2.4108015987577844	0.00037604279197913856	2.7442925056205327	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/BRISBANE/28/2012_EPI_ISL_128710	2.5e-05	1.4648189999999992	1.4900979999999981	-1.0991414592511828	1.0007714377146584e-05	0.7990716621418477	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangkok/282/2012_EPI_ISL_132487	0.014218999999999999	3.386000999999998	3.448322000000001	-0.1915834761423884	0.00966458651762013	2.7519942293428894	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangladesh/1005/2012_EPI_ISL_129664	0.001093	2.462628999999998	2.4900869999999995	-2.4108006254459697	0.00020357355373608674	1.7986645150343747	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangladesh/3249/2012_EPI_ISL_133074	0.010444	3.1202919999999983	2.713766	-0.07515614318440522	0.0075976031836326435	2.5679406673803573	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangladesh/3849/2012_EPI_ISL_133087	0.000337	2.261590999999999	1.8214909999999989	-0.18879221454274836	0.00022943055662513848	1.6412626774752237	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangladesh/6704/2012_EPI_ISL_125888	3.6e-05	2.3180629999999978	2.484417999999999	-1.2077841903096718	1.3526144205349509e-05	1.7279906646095986	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangladesh/7075/2012_EPI_ISL_131836	0.009548000000000001	2.261590999999999	1.8214909999999989	-0.15330198730955163	0.006636281614919218	1.6412626774752237	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangladesh/7824/2012_EPI_ISL_133075	0.010444	3.2406529999999982	2.8214799999999993	-0.07515614318440522	0.0075976031836326435	2.626036207023323	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bangladesh/8007/2012_EPI_ISL_133088	0.0007509999999999	3.2600849999999983	2.746892	-2.4108025151416888	0.0001398751787087722	2.6409829271178067	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bolivia/2142/2012_EPI_ISL_129668	6.6e-05	3.4643469999999974	3.490076000000001	-2.4108025124579036	1.2292625578206259e-05	2.79898523464864	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bolivia/2376/2012_EPI_ISL_133082	0.0001	3.4141069999999982	3.448322000000001	-2.4104983267462172	1.8628495448014207e-05	2.771261560136077	2013-09-01	ne_star-lbi	north	2013
2013-02-01	B/Bolivia/3136/2012_EPI_ISL_129723	0.001369	6.534826999999999	7.196368	-2.4092130823688898	0.000255215372545872	6.323597655027459	2013-09-01	ne_star-lbi	north	2013
