timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	A/AKITA/14/2012_EPI393439	0.000976	19.521272000000017	8.943057999999985	0.11498626381048922	0.0010099984310298336	19.889377186202548	2013-02-01	ep_star	south	2013
2012-09-01	A/Alabama/02/2012_EPI356607	3.4e-05	19.773058000000013	8.824217999999984	0.11498626381048922	3.51843715727606e-05	20.151211643397925	2013-02-01	ep_star	south	2013
2012-09-01	A/Alabama/05/2012_EPI367490	0.000308	18.954602000000005	9.484892999999976	0.11498626381048922	0.0003187290130708901	19.3203788773497	2013-02-01	ep_star	south	2013
2012-09-01	A/Almaty/3277/2012_EPI358871	1e-05	20.512200000000007	7.9017539999999835	0.11498626381048922	1.0348344580223706e-05	20.947443754588594	2013-02-01	ep_star	south	2013
2012-09-01	A/Arkansas/01/2012_EPI353504	1.8e-05	22.275348999999995	13.834334999999975	0.11498626381048922	1.8627020244402667e-05	22.627539758815765	2013-02-01	ep_star	south	2013
2012-09-01	A/Astrakhan/06/2012_EPI377492	0.006102000000000001	21.378788999999983	12.030843999999984	0.11498626381048922	0.0063145598628525056	21.706070496241292	2013-02-01	ep_star	south	2013
2012-09-01	A/Athens_GR/112/2012_EPI358885	6.500000000000001e-05	20.820269999999994	9.936556999999983	0.11498626381048922	6.726423977145409e-05	21.19889773350718	2013-02-01	ep_star	south	2013
2012-09-01	A/BRISBANE/1/2012_EPI376859	1.3000000000000001e-05	20.821044999999998	8.140138999999982	0.11498626381048922	1.3452847954290818e-05	21.256747347963383	2013-02-01	ep_star	south	2013
2012-09-01	A/BRISBANE/11/2012_EPI376849	0.000127	21.397865999999986	12.021091999999982	0.11498626381048922	0.00013142397616884105	21.725812033196984	2013-02-01	ep_star	south	2013
2012-09-01	A/BRISBANE/26/2012_EPI379388	0.00043200000000000004	24.197706999999994	15.815112999999977	0.11498626381048922	0.0004470484858656641	24.547217977853	2013-02-01	ep_star	south	2013
