timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	A/Alabama/17/2012_EPI397564	0.0014039999999999999	6.605402999999978	22.457735	0.05222575342677381	0.001444036707245592	6.576972198611131	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Alabama/17/2012_EPI399657	0.0014039999999999999	6.605402999999978	22.457735	0.05222575342677381	0.001444036707245592	6.576972198611131	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Alaska/22/2012_EPI404924	0.0035549999999999996	14.52050799999998	30.31343499999999	0.14768933062810694	0.0038657638883375332	14.643432072572994	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Arges/126697/2012_EPI416328	0.007885	8.231376999999982	24.027972000000005	0.1543916705259772	0.008607863624916903	8.178613429662247	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Arizona/09/2012_EPI404980	0.006591	5.736338999999982	22.748757999999995	-0.08318438055267979	0.0062640879073054675	5.773973681341623	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Attecoube/GR_619/2012_EPI405870	1.4999999999999999e-05	10.600894999999984	27.140078000000013	-0.06786699197498375	1.4383953639906103e-05	10.740304569417226	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Attecoube/GR_741/2012_EPI405872	7.8e-05	10.600894999999984	27.140078000000013	-0.06786699197498375	7.479655892751174e-05	10.740304569417226	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Bangladesh/1621/2012_EPI406063	0.002916	9.927437999999983	26.971807000000016	-0.10120739741208662	0.0027423831301139154	10.066310280974246	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Bangladesh/2596/2012_EPI397570	0.00031600000000000004	7.406915999999979	24.154569999999985	-0.10834221202615178	0.0002959512432915444	7.456170631027304	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Belem/119244/2012_EPI395227	1.4000000000000001e-05	15.526243999999972	32.54885399999999	-0.033315625473532895	1.3698349443475483e-05	15.736084519723505	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Bermuda/1915/2012_EPI394812	2e-05	18.739503999999975	35.20022700000001	-0.10875590764961945	1.8726571660139646e-05	18.94359707323069	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Brazil/8751/2012_EPI387760	1.2e-05	14.526287999999978	31.548953000000008	-0.04265688198048571	1.167763648135009e-05	14.736111916422399	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Bretagne/1867/2012_EPI416323	0.015609999999999999	12.432123999999991	29.433552999999986	-0.07633818330842583	0.014895114299812816	12.592898802048062	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/British_Columbia/RV2820/2012_EPI394796	4.9e-05	7.298225999999979	24.444709999999986	-0.23760746155017232	4.2558009632302634e-05	7.354321547478009	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Buenos_Aires/1004423/2012_EPI405878	0.000202	6.333528999999976	23.444819000000003	-0.25628974428012224	0.00017354162407259805	6.387127505980048	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Buenos_Aires/10435982/2012_EPI405880	0.00023500000000000002	7.071121999999981	24.057305999999993	-0.11969501083400243	0.0002186375982774979	7.1200903996536296	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/CAMBODIA/10/2012_EPI394253	0.000156	9.586024999999982	26.731889000000006	-0.11023573933032069	0.0001459412229644998	9.74199792154003	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/CAMBODIA/31/2012_EPI394322	4.6e-05	8.58635299999998	25.733607999999975	-0.1195769958372735	4.28000932429585e-05	8.742289803985965	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/CAMBODIA/5/2012_EPI394250	6.9e-05	8.536268999999983	25.48332499999999	-0.2672398233670181	5.890162856142175e-05	8.61988078270074	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/CHIBA-C/30/2012_EPI413253	0.014155000000000001	6.473931999999979	23.361244999999986	0.04919063726391303	0.014532893379989992	6.506936575015216	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/CHIBA/19/2012_EPI413257	0.016334	7.441247999999983	24.36122999999999	0.058531893770865845	0.016861696358196506	7.473213182298819	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/CHRISTCHURCH/9/2012_EPI394161	1.8e-05	7.685148999999981	24.701356999999987	-0.046180467709004774	1.748048793910784e-05	7.725421815520919	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Cairo/136/2012_EPI417003	0.02114	11.39513499999998	28.745411999999988	0.05237516658480494	0.021744727039818515	11.549741497017123	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Cairo/140/2012_EPI417005	0.02114	8.71671399999998	26.04982199999998	-0.14000723652539504	0.019436412206307013	8.868816078801485	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Cairo/47/2012_EPI417007	0.014883	9.473127999999985	26.502331999999985	-0.22154052274570113	0.013048064161198698	9.605467229801764	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Cairo/5/2012_EPI417009	0.012236	8.58132699999998	25.545875999999996	-0.22154052274570113	0.010727414706472302	8.708152180340289	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Cairo/59/2012_EPI417011	0.0165729999999999	12.545592999999982	29.750631999999996	-0.10264221049758379	0.01557321380442684	12.705200352711103	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Cairo/81/2012_EPI417013	0.017752	10.601293999999985	28.049668000000015	-0.12132472351148942	0.01650028349856946	10.757399365024325	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Chanthaburi/324/2012_EPI406048	0.004841	6.55901899999998	23.737249	-0.07384312404572697	0.004626026477897134	6.6003011424453275	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Clermont-Ferrand/14/2013_EPI416488	0.020368999999999998	7.247162999999978	23.028831	0.14505041401902435	0.022115506431881905	7.195829156912082	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Colorado/17/2012_EPI391250	3.3e-05	7.116074999999976	23.218248000000003	0.041760649658805896	3.3734466943866175e-05	7.114340686836782	2013-09-01	cTiterSub_x-ne_star	north	2013
2013-02-01	A/Colorado/18/2012_EPI402258	0.005132	8.428045999999984	25.068172000000008	0.04919063726391303	0.005269008041406474	8.459251552936253	2013-09-01	cTiterSub_x-ne_star	north	2013
