timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	A/Alabama/01/2012_EPI_ISL_103724	2.2e-05	6.9733080000000065	9.208025999999997	3.038333593651241	4.431901380101036e-05	3.833376512467964	2013-02-01	lbi	south	2013
2012-09-01	A/Argentina/40/2012_EPI_ISL_127845	0.032982	8.410496999999996	7.817538999999996	-1.3146691028889657	0.010832839029701516	8.976806475358835	2013-02-01	lbi	south	2013
2012-09-01	A/Argentina/41/2012_EPI_ISL_128220	0.032982	9.344516000000008	8.817186999999997	-1.3146691028889657	0.010832839029701516	9.955140797299439	2013-02-01	lbi	south	2013
2012-09-01	A/Arizona/08/2012_EPI_ISL_121442	6.8e-05	8.880378000000002	11.182216999999994	3.4652111247745867	0.00016365240227654383	5.717526203781813	2013-02-01	lbi	south	2013
2012-09-01	A/BRISBANE/19/2012_EPI_ISL_122593	0.000464	9.748530000000006	12.175480000000004	1.4593685934465537	0.0004841301646844738	6.7122445316488974	2013-02-01	lbi	south	2013
2012-09-01	A/BRISBANE/3/2012_EPI_ISL_122592	4.7e-05	11.885874999999986	11.60092999999999	-2.0554256936675284	1.1337538777379673e-05	10.78969145390094	2013-02-01	lbi	south	2013
2012-09-01	A/Bahrain/20/2012_EPI_ISL_122118	0.00025	8.695083	8.992739999999998	-0.9574940083153419	9.528801932902517e-05	9.330127590430152	2013-02-01	lbi	south	2013
2012-09-01	A/Bangladesh/0002/2012_EPI_ISL_121447	0.002273	7.599212000000008	7.956220999999993	-1.2132134294744863	0.0007787960757168978	8.227264651431735	2013-02-01	lbi	south	2013
2012-09-01	A/Bangladesh/1027/2012_EPI_ISL_124943	0.013427	10.270673000000006	10.863969000000003	-1.5211449220474051	0.004046515851439706	11.001451860727972	2013-02-01	lbi	south	2013
2012-09-01	A/Bangladesh/2014/2012_EPI_ISL_124952	0.012058	7.667211000000008	7.978492999999994	2.3236463873813635	0.01803498244864971	8.28892319693615	2013-02-01	lbi	south	2013
2012-09-01	A/Bangladesh/2033/2012_EPI_ISL_124940	0.012392	8.374280000000008	8.889018999999998	1.074222471070162	0.0110126301078878	9.066132095732174	2013-02-01	lbi	south	2013
2012-09-01	A/Bangladesh/3082/2012_EPI_ISL_121455	0.00013700000000000002	10.628192000000006	10.969586000000008	-1.4066372522561725	4.330556189906569e-05	11.297132963875503	2013-02-01	lbi	south	2013
2012-09-01	A/Bangladesh/3341/2012_EPI_ISL_124953	0.016041	10.261583000000003	10.867347000000004	-1.4777639409825478	0.004922477573421814	11.126054647958602	2013-02-01	lbi	south	2013
