subtype,truth_name,hemisphere,year,consensus_sites_used,predicted_em_sites_used,recommended_accession,recommended_isolate,recommended_clade,stage1_distance,stage2_distance,stage3_distance,candidate_count,truth_clade,predicted_clade_norm,truth_clade_norm,clade_match
H3N2,H3N2,north,2013,566,0,EPI_ISL_130204,A/Kentucky/16/2012,3C.2,0,0,56,3901,3C.3a,3C.2,3C.3a,False
H3N2,H3N2,north,2014,566,0,EPI_ISL_154761,A/Lisboa/147/2013,3C.3a,0,0,56,6252,3C.2,3C.3a,3C.2,False
H3N2,H3N2,north,2015,566,2,EPI_ISL_163473,A/Alaska/24/2014,3C.2,0,0,56,10280,3C.2,3C.2,3C.2,True
H3N2,H3N2,north,2016,566,2,EPI_ISL_196593,A/Sao Paulo/3-36025/2015,3C.2,0,0,56,17815,3C.2a1,3C.2,3C.2a1,False
H3N2,H3N2,north,2017,566,6,EPI_ISL_226827,A/New Hampshire/15/2016,3C.2a1,0,0,56,23635,3C.2a2,3C.2a1,3C.2a2,False
H3N2,H3N2,north,2018,566,7,EPI_ISL_294439,A/California/NHRC_28273/2017,3C.2a2,0,0,56,37174,3C.2a1b.1,3C.2a2,3C.2a1b.1,False
H3N2,H3N2,north,2019,566,8,EPI_ISL_376421,A/Texas/7538/2018,3C.2a1b.2,0,0,57,45609,3C.3a1,3C.2a1b.2,3C.3a1,False
H3N2,H3N2,north,2020,566,9,EPI_ISL_346441,A/Singapore/TT1183/2018,3C.2a1b.2,0,1,56,63425,3C.2a1b.2a.2,3C.2a1b.2,3C.2a1b.2a.2,False
H3N2,H3N2,north,2021,566,17,EPI_ISL_882880,A/Bangladesh/4005/2020,3C.2a1b.2a.2,0,1,55,68089,3C.2a1b.2a.2a.1a,3C.2a1b.2a.2,3C.2a1b.2a.2a.1a,False
H3N2,H3N2,north,2022,566,24,EPI_ISL_8814457,A/District Of Columbia/11/2021,3C.2a1b.2a.2a.1a,0,2,55,72428,3C.2a1b.2a.2b,3C.2a1b.2a.2a.1a,3C.2a1b.2a.2b,False
H3N2,H3N2,north,2023,566,25,EPI_ISL_16520254,A/Singapore/TT0042/2022,3C.2a1b.2a.2a,0,4,55,99690,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a,3C.2a1b.2a.2a.3a.1,False
H3N2,H3N2,north,2024,566,29,EPI_ISL_18742496,A/Minnesota/36/2023,3C.2a1b.2a.2a.3a.1,0,2,54,124828,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a.3a.1,True
H3N2,H3N2,south,2013,566,0,EPI_ISL_97048,A/Stockholm/24/2011,3C.2,0,0,56,3113,3C.3a,3C.2,3C.3a,False
H3N2,H3N2,south,2014,566,4,EPI_ISL_130205,A/Alabama/17/2012,3C.3a,0,1,55,5120,3C.3a,3C.3a,3C.3a,True
H3N2,H3N2,south,2015,566,4,EPI_ISL_144191,A/South Carolina/3412/2013,3C.3a,0,1,55,8207,3C.2,3C.3a,3C.2,False
H3N2,H3N2,south,2016,566,7,EPI_ISL_196283,A/Virginia/NHRC_TRU0007/2015,3C.2,0,1,55,13656,3C.2a,3C.2,3C.2a,False
H3N2,H3N2,south,2017,566,8,EPI_ISL_194966,A/Hawaii/47/2015,3C.2,0,1,55,20345,3C.2a1,3C.2,3C.2a1,False
H3N2,H3N2,south,2018,566,10,EPI_ISL_261479,A/Kenya/015/2016,3C.2a1,0,1,55,31160,3C.2a2,3C.2a1,3C.2a2,False
H3N2,H3N2,south,2019,566,11,EPI_ISL_327674,A/California/SAR10533N/2018,3C.2a2,0,1,55,42717,3C.3a1,3C.2a2,3C.3a1,False
H3N2,H3N2,south,2020,566,20,EPI_ISL_355711,A/Kentucky/20/2019,3C.3a1,0,6,55,57802,3C.3a1,3C.3a1,3C.3a1,True
H3N2,H3N2,south,2021,566,20,EPI_ISL_378113,A/Rancagua/40889/2019,3C.3a1,0,8,55,67518,3C.2a1b.2a.2c,3C.3a1,3C.2a1b.2a.2c,False
H3N2,H3N2,south,2022,566,28,EPI_ISL_2518750,A/Delaware/01/2021,3C.2a1b.2a.2a,0,2,54,68692,3C.2a1b.2a.2a.1,3C.2a1b.2a.2a,3C.2a1b.2a.2a.1,False
H3N2,H3N2,south,2023,566,31,EPI_ISL_12943161,A/Slovenia/8821/2022,3C.2a1b.2a.2a.1,0,2,54,88023,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a.1,3C.2a1b.2a.2a.3a.1,False
H3N2,H3N2,south,2024,566,36,EPI_ISL_17694266,A/Reunion/HCL023041578401/2022,3C.2a1b.2a.2a.3a.1,0,3,53,115648,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a.3a.1,3C.2a1b.2a.2a.3a.1,True
H1N1,H1N1,north,2013,566,0,EPI_ISL_134424,A/Pennsylvania/30/2012,6B.1,0,0,56,2881,6B.1,6B.1,6B.1,True
H1N1,H1N1,north,2014,566,2,EPI_ISL_130232,A/Stockholm/32/2012,6B.1,0,0,56,4321,6B.1,6B.1,6B.1,True
H1N1,H1N1,north,2015,566,2,EPI_ISL_163832,A/KOBE/318/2014,6B.1,0,0,56,5822,6B.1,6B.1,6B.1,True
H1N1,H1N1,north,2016,566,5,EPI_ISL_195801,A/New York/61/2015,6B.1,0,1,55,7998,6B.1,6B.1,6B.1,True
H1N1,H1N1,north,2017,566,5,EPI_ISL_227648,A/Brisbane/89/2016,6B.1,0,1,55,14517,6B.1A,6B.1,6B.1A,False
H1N1,H1N1,north,2018,566,7,EPI_ISL_294129,A/Paris/1931/2017,6B.1A,0,1,55,17516,6B.1A.5a,6B.1A,6B.1A.5a,False
H1N1,H1N1,north,2019,566,7,EPI_ISL_294112,A/Sachsen-Anhalt/101/2017,6B.1A.1,0,1,55,24505,6B.1A.5a.1,6B.1A.1,6B.1A.5a.1,False
H1N1,H1N1,north,2020,566,12,EPI_ISL_413467,A/Romania/297/2020,6B.1A.5a.1,0,1,55,35457,6B.1A.5a.1,6B.1A.5a.1,6B.1A.5a.1,True
H1N1,H1N1,north,2021,566,14,EPI_ISL_882898,A/Togo/847/2020,6B.1A.5a.1,0,1,55,41652,6B.1A.5a.1,6B.1A.5a.1,6B.1A.5a.1,True
H1N1,H1N1,north,2022,566,24,EPI_ISL_7992362,A/Nizwa/72126242/2021,6B.1A.5a.2a,1,2,54,43474,6B.1A.5a.2a,6B.1A.5a.2a,6B.1A.5a.2a,True
H1N1,H1N1,north,2023,566,30,EPI_ISL_16546444,A/Catalonia/NSVH198263492/2023,6B.1A.5a.2a.1,0,2,54,48761,6B.1A.5a.2a,6B.1A.5a.2a.1,6B.1A.5a.2a,False
H1N1,H1N1,north,2024,566,31,EPI_ISL_18726875,A/Catalonia/NSJT199826614/2024,6B.1A.5a.2a.1,0,2,54,69242,6B.1A.5a.2a,6B.1A.5a.2a.1,6B.1A.5a.2a,False
H1N1,H1N1,south,2013,566,3,EPI_ISL_124934,A/Washington/24/2012,6B.1,0,0,56,2563,6B.1,6B.1,6B.1,True
H1N1,H1N1,south,2014,566,3,EPI_ISL_145453,A/Ukraine/5807/2013,6B.1,0,0,56,3622,6B.1,6B.1,6B.1,True
H1N1,H1N1,south,2015,566,4,EPI_ISL_163832,A/KOBE/318/2014,6B.1,0,0,56,5358,6B.1,6B.1,6B.1,True
H1N1,H1N1,south,2016,566,4,EPI_ISL_163832,A/KOBE/318/2014,6B.1,0,0,56,7072,6B.1,6B.1,6B.1,True
H1N1,H1N1,south,2017,566,6,EPI_ISL_227648,A/Brisbane/89/2016,6B.1,0,1,55,12879,6B.1,6B.1,6B.1,True
H1N1,H1N1,south,2018,566,7,EPI_ISL_268715,A/Hong Kong/2244/2017,6B.1,0,1,55,16074,6B.1A,6B.1,6B.1A,False
