timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	B/ALICE_SPRINGS/11/2012_EPI_ISL_128721	0.00015800000000000002	2.323519999999998	2.3823729999999994	0.8144677204867385	0.0001995180804140094	1.999397112034171	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Alaska/12/2012_EPI_ISL_128369	4.6e-05	2.454278999999998	2.4900869999999995	-0.6561893677556895	2.4632529894954393e-05	2.1103075562839844	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Argentina/35/2012_EPI_ISL_128371	0.00015800000000000002	2.199704999999999	2.345780999999999	0.8144677204867385	0.0001995180804140094	1.8773931006122313	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Argentina/44/2012_EPI_ISL_128379	0.000288	1.4648189999999992	1.4900979999999981	0.8144677204867385	0.00036367852632427023	1.1159610567731677	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Argentina/871/2012_EPI_ISL_129785	0.003275	1.4648189999999992	1.4900979999999981	0.8144677204867385	0.0041355804642777255	1.1159610567731677	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Argentina/872/2012_EPI_ISL_129786	0.002912	3.3036779999999974	3.3394860000000013	-2.585724506530892	0.0005059610911621152	3.0426048413171447	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Argentina/9410/2012_EPI_ISL_129639	0.002019	3.305535999999998	3.3716520000000014	-2.585724506530892	0.00035080200654406265	3.042949449959083	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/BRISBANE/28/2012_EPI_ISL_128710	2.5e-05	1.4648189999999992	1.4900979999999981	0.8144677204867385	3.156931652120401e-05	1.1159610567731677	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangkok/282/2012_EPI_ISL_132487	0.014218999999999999	3.386000999999998	3.448322000000001	-0.6618353534089333	0.007589093365952287	3.0735480931827683	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangladesh/1005/2012_EPI_ISL_129664	0.001093	2.462628999999998	2.4900869999999995	-2.585724506530892	0.00018990915956050545	2.1155812384540464	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangladesh/3249/2012_EPI_ISL_133074	0.010444	3.1202919999999983	2.713766	0.8144677204867385	0.013188397669898188	2.7597259348222147	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangladesh/3849/2012_EPI_ISL_133087	0.000337	2.261590999999999	1.8214909999999989	0.8144677204867385	0.00042555438670583004	1.8762898795612106	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangladesh/6704/2012_EPI_ISL_125888	3.6e-05	2.3180629999999978	2.484417999999999	0.8144677204867385	4.545981579053378e-05	2.0084072938872395	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangladesh/7075/2012_EPI_ISL_131836	0.009548000000000001	2.261590999999999	1.8214909999999989	0.8144677204867385	0.012056953365778236	1.8762898795612106	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangladesh/7824/2012_EPI_ISL_133075	0.010444	3.2406529999999982	2.8214799999999993	-0.6526434340173456	0.00560423542939322	2.8650567761725294	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bangladesh/8007/2012_EPI_ISL_133088	0.0007509999999999	3.2600849999999983	2.746892	-4.059372388458577	5.5237500677236636e-05	2.876179404559856	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bolivia/2142/2012_EPI_ISL_129668	6.6e-05	3.4643469999999974	3.490076000000001	-4.06320607435273	4.843583581725678e-06	3.115906932363898	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bolivia/2376/2012_EPI_ISL_133082	0.0001	3.4141069999999982	3.448322000000001	-2.585724506530892	1.7375037471226482e-05	3.0886818426725666	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Bolivia/3136/2012_EPI_ISL_129723	0.001369	6.534826999999999	7.196368	-2.585724506530892	0.0002378642629810905	6.388924919612248	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Buenos_Aires/1001528/2012_EPI_ISL_132542	0.00015800000000000002	3.4491929999999975	3.490076000000001	-0.6615119241316053	8.434510158732153e-05	3.1076237036301877	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Buenos_Aires/1002077/2012_EPI_ISL_132543	0.000198	3.199304999999997	3.3457700000000004	0.8144677204867385	0.00025002898684793574	2.876893042638535	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Buenos_Aires/1003043/2012_EPI_ISL_132544	0.000288	1.4648189999999992	1.4900979999999981	0.8144677204867385	0.00036367852632427023	1.1159610567731677	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Buenos_Aires/2367/2012_EPI_ISL_132545	0.00032	2.464108999999998	2.4900869999999995	0.8144677204867385	0.00040408725147141137	2.1150695392746086	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Buenos_Aires/R235/2012_EPI_ISL_132546	0.003814	2.457186999999998	2.4825589999999997	0.8144677204867385	0.004816214928474884	2.1063286269162176	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/CANBERRA/1/2012_EPI_ISL_128712	2.6000000000000002e-05	3.4314279999999973	3.4199090000000005	-2.585724506530892	4.517509742518885e-06	3.100267903187462	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/CHRISTCHURCH/1/2012_EPI_ISL_128723	4.9e-05	2.464538999999998	2.446714	0.8144677204867385	6.187586038155985e-05	2.115612531518773	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/CHRISTCHURCH/501/2012_EPI_ISL_128722	0.000198	3.4201589999999977	3.489840000000001	-2.585724506530892	3.440257419302843e-05	3.1136599034117336	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/CHRISTCHURCH/506/2012_EPI_ISL_128741	0.000437	2.420558999999998	2.4898509999999994	0.8144677204867385	0.0005518316527906461	2.1137287085601195	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Caen/1623/2012_EPI_ISL_134054	0.014986000000000001	2.434842999999998	2.4899149999999994	-2.585724506530892	0.0026038231154380006	2.110753410542291	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/California/07/2012_EPI_ISL_128953	0.00041500000000000006	2.463984999999998	2.4900869999999995	0.8144677204867385	0.0005240506542519867	2.1149129554646633	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Catalonia/5479/2012_EPI_ISL_134241	0.03472	2.261590999999999	1.8214909999999989	0.8144677204867385	0.04384346678464813	1.8762898795612106	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Connecticut/04/2012_EPI_ISL_133980	0.0342	2.123183999999998	2.0876200000000003	0.8144677204867385	0.04318682500100709	1.778632181589149	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Costa_Rica/725/2012_EPI_ISL_129638	0.000826	2.463162999999998	2.456231	0.8144677204867385	0.0010430502178605805	2.113874956337446	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Costa_Rica/9188/2012_EPI_ISL_129562	0.000259	2.464296999999998	2.4887349999999997	0.8144677204867385	0.0003270581191596736	2.115306940534848	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/DARWIN/40/2012_EPI_ISL_122587	3.2e-05	1.4648189999999992	1.4900979999999981	0.8144677204867385	4.040872514714113e-05	1.1159610567731677	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Egypt/3514/2012_EPI_ISL_129151	4.3e-05	2.199704999999999	2.345780999999999	0.8144677204867385	5.42992244164709e-05	1.8773931006122313	2013-09-01	ep_x-ne_star	north	2013
2013-02-01	B/Egypt/3534/2012_EPI_ISL_129152	3.8e-05	1.4648189999999992	1.4900979999999981	0.8144677204867385	4.798536111223009e-05	1.1159610567731677	2013-09-01	ep_x-ne_star	north	2013
