timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	A/AKITA/14/2012_EPI393439	0.000976	19.521272000000017	8.943057999999985	-0.018484142092791034	0.0009684378241519374	19.433393411545204	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Alabama/02/2012_EPI356607	3.4e-05	19.773058000000013	8.824217999999984	-0.018484142092791034	3.373656354627651e-05	19.684345188977677	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Alabama/05/2012_EPI367490	0.000308	18.954602000000005	9.484892999999976	-0.018484142092791034	0.00030561357565450485	18.874475727901608	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Almaty/3277/2012_EPI358871	1e-05	20.512200000000007	7.9017539999999835	-0.018484142092791034	9.922518690081326e-06	20.422606855854255	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Arkansas/01/2012_EPI353504	1.8e-05	22.275348999999995	13.834334999999975	-0.018484142092791034	1.7860533642146387e-05	22.196882868600138	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Astrakhan/06/2012_EPI377492	0.006102000000000001	21.378788999999983	12.030843999999984	0.0061061674794161925	0.006117076246685086	21.297154481549978	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Athens_GR/112/2012_EPI358885	6.500000000000001e-05	20.820269999999994	9.936556999999983	-0.018484142092791034	6.449637148552863e-05	20.731824597691755	2013-02-01	dms_entropy	south	2013
2012-09-01	A/BRISBANE/1/2012_EPI376859	1.3000000000000001e-05	20.821044999999998	8.140138999999982	-0.018484142092791034	1.2899274297105725e-05	20.731236768100768	2013-02-01	dms_entropy	south	2013
2012-09-01	A/BRISBANE/11/2012_EPI376849	0.000127	21.397865999999986	12.021091999999982	0.0061061674794161925	0.00012731377963438314	21.31676576925765	2013-02-01	dms_entropy	south	2013
2012-09-01	A/BRISBANE/26/2012_EPI379388	0.00043200000000000004	24.197706999999994	15.815112999999977	0.11044883242094417	0.000452310710934439	24.11785072524582	2013-02-01	dms_entropy	south	2013
2012-09-01	A/BRISBANE/29/2012_EPI379462	0.0012050000000000001	18.97065100000001	6.333528999999976	-0.018484142092791034	0.0011956635021548	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/BRISBANE/38/2012_EPI379453	0.002434	24.255611999999996	15.833729999999978	0.008764579325060216	0.002442717929180816	24.176916911815724	2013-02-01	dms_entropy	south	2013
2012-09-01	A/BRISBANE/39/2012_EPI379592	0.003017	24.404553999999997	15.90585899999998	0.008764579325060216	0.0030278060773781933	24.332784488976987	2013-02-01	dms_entropy	south	2013
2012-09-01	A/BRISBANE/6/2012_EPI376862	6.9e-05	21.472908999999984	8.966604999999982	0.06459122808358474	7.087678440039181e-05	21.384141334153956	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Bacau/89197/2012_EPI370483	1.1e-05	19.970226999999994	7.333512999999982	0.02604425632174638	1.1119168028284046e-05	19.879877635292974	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Beograd/1549/2012_EPI392209	0.001308	23.072772000000008	14.819379999999974	-0.018484142092791034	0.0012978654446626375	22.995887368754524	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Beograd/1607/2012_EPI392211	0.001419	23.27249900000001	14.834318999999974	0.010093785247882231	0.001424871400219902	23.194033125799713	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Brasov/92191/2012_EPI370461	2.9999999999999997e-05	18.97065100000001	6.333528999999976	-0.018484142092791034	2.9767556070243977e-05	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Brazil/7920/2012_EPI387784	0.00187	23.307942000000008	14.526287999999978	-0.018484142092791034	0.0018555109950452078	23.231039508114947	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Brazil/8456/2012_EPI387772	0.006464	23.307942000000008	14.526287999999978	-0.018484142092791034	0.0064139160812685695	23.231039508114947	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Brazil/8751/2012_EPI387760	0.010338	23.307942000000008	14.526287999999978	-0.018484142092791034	0.010257899821806074	23.231039508114947	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Bulgaria/218/2012_EPI368833	0.000102	24.274916999999995	15.831494999999977	0.09516296430849101	0.00010611755303903267	24.196458398387986	2013-02-01	dms_entropy	south	2013
2012-09-01	A/CHIBA-C/23/2012_EPI378277	0.000718	21.531285999999994	10.70395799999999	-0.018484142092791034	0.0007124368419478392	21.44390329330249	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Caen/539/2012_EPI392216	9.2e-05	18.82110699999999	7.989210999999978	-0.018484142092791034	9.128717194874819e-05	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/California/22/2012_EPI371792	0.000185	25.44748000000001	17.055245999999983	0.13370993607032938	0.00019558434538881	25.375690879163862	2013-02-01	dms_entropy	south	2013
2012-09-01	A/California/32/2012_EPI377516	0.0042229999999999	22.275348999999995	13.834334999999975	-0.018484142092791034	0.004190279642821244	22.196882868600138	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Catalonia/S4360/2012_EPI348665	1.1e-05	18.82110699999999	7.989210999999978	-0.018484142092791034	1.0914770559089457e-05	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Catalonia/S4421/2012_EPI350944	2.5e-05	20.416034999999994	9.956384999999981	0.0061061674794161925	2.5061767644563613e-05	20.330683769525983	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Catalonia/S4451/2012_EPI352824	2.1e-05	19.935119999999998	7.332276999999982	-0.018484142092791034	2.0837289249170782e-05	19.84375902617008	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Catalonia/S4454/2012_EPI352827	2.7000000000000002e-05	19.935119999999998	7.332276999999982	-0.018484142092791034	2.6790800463219582e-05	19.84375902617008	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Catalonia/S4468/2012_EPI352830	2.8000000000000013e-05	19.935119999999998	7.332276999999982	-0.018484142092791034	2.7783052332227725e-05	19.84375902617008	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Colorado/16/2012_EPI377453	0.004361	23.20151899999998	11.761558999999991	0.045982345164076566	0.004445018902567749	23.117201128363302	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Colorado/17/2012_EPI391250	0.014582	20.503037999999993	7.116074999999976	0.010758388209293236	0.014646391268086431	20.413597632445704	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Delaware/07/2012_EPI375452	0.0027129999999999997	19.773058000000013	8.824217999999984	-0.018484142092791034	0.002691979320619063	19.684345188977677	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Dominican_Republic/6334/2012_EPI376515	0.00202	18.82110699999999	7.989210999999978	-0.018484142092791034	0.002004348775396428	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/EHIME/36/2012_EPI377236	0.002346	18.82110699999999	7.989210999999978	-0.018484142092791034	0.0023278228846930794	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/ENG/121120006/2012_EPI368499	0.000412	18.82110699999999	7.989210999999978	-0.018484142092791034	0.00040880777003135066	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/England/316/2012_EPI377295	0.000278	19.77013399999999	7.318573999999982	0.0061061674794161925	0.00027868685620754735	19.681349149251783	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Estonia/66837/2012_EPI377319	0.0010630000000000001	21.961934999999986	13.100992999999985	-0.018484142092791034	0.001054763736755645	21.881167148734782	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ethiopia/141/2012_EPI387757	0.005927	24.318989999999996	14.969700999999976	0.03867171258855549	0.006022815364633231	24.237390679391332	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ethiopia/41/2012_EPI371785	0.000976	20.677285999999988	11.072591999999988	-0.018484142092791034	0.0009684378241519374	20.594915215273982	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ethiopia/93/2012_EPI387775	0.003017	18.82110699999999	7.989210999999978	-0.018484142092791034	0.0029936238887975364	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/FUKUOKA-C/10/2012_EPI393435	0.005259000000000001	19.03566699999999	5.736338999999982	-0.018484142092791034	0.0052182525791137704	18.943703404669098	2013-02-01	dms_entropy	south	2013
2012-09-01	A/FUKUSHIMA/114/2012_EPI378280	0.002098	18.97065100000001	6.333528999999976	-0.018484142092791034	0.002081744421179062	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/FUKUSHIMA/74/2012_EPI377216	2.9999999999999997e-05	19.970578999999994	7.333512999999982	0.0061061674794161925	3.007412117347633e-05	19.880246143678164	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/01/2012_EPI355954	2.4e-05	18.82110699999999	7.989210999999978	-0.018484142092791034	2.3814044856195184e-05	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/05/2012_EPI367547	0.000356	24.88997199999998	16.670154999999976	0.0061061674794161925	0.0003568795712585858	24.81277595610656	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/161/2012_EPI392229	9.7e-05	19.820115000000015	8.989194999999983	-0.018484142092791034	9.624843129378887e-05	19.731664499922477	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/255/2012_EPI392231	0.000205	19.970228999999996	7.333512999999982	0.04265933035702153	0.00020866041507481745	19.87988897109036	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/301/2012_EPI392233	0.000195	20.84822999999999	11.25081399999999	0.05262837477818663	0.0001993080205899396	20.764831991981804	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/471/2012_EPI392237	0.0008210000000000001	21.70869199999999	10.484413999999976	0.010758388209293236	0.0008246253758811524	21.620162796061855	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/491/2012_EPI392239	0.000976	18.82110699999999	7.989210999999978	-0.018484142092791034	0.0009684378241519374	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/491/2012_EPI392241	0.000976	18.82110699999999	7.989210999999978	-0.018484142092791034	0.0009684378241519374	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/512/2012_EPI392243	0.000857	19.380641999999995	7.04739499999998	0.005441564518005187	0.0008588795228073327	19.290923627191926	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/554/2012_EPI392245	0.001019	18.97065100000001	6.333528999999976	-0.018484142092791034	0.0010111046545192872	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/579/2012_EPI392247	0.001419	18.97065100000001	6.333528999999976	-0.018484142092791034	0.00140800540212254	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Georgia/606/2012_EPI392248	0.001538	23.649227000000007	12.916520999999982	0.0067707704408272	0.001542226956618369	23.569506358639256	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ghana/ARI_1494/2012_EPI392250	0.014301	20.662525999999986	11.076874999999989	0.008099976363649213	0.014348248474066492	20.580236061134876	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ghana/FS-12-0506/2012_EPI392254	0.001477	20.64942399999999	11.022126999999989	0.008764579325060216	0.0014822902142153107	20.56574434103508	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ghana/FS-12-0657/2012_EPI392256	0.007429000000000001	19.810221	9.646547999999987	-0.018484142092791034	0.007371439134861418	19.72658836926262	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ghana/FS-12-0677/2012_EPI392258	0.008481	19.691195999999987	10.07703299999998	-0.018484142092791034	0.008415288101057973	19.608989008823485	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ghana/FS-12-758/2012_EPI392260	0.012921	19.691195999999987	10.07703299999998	-0.018484142092791034	0.012820886399454081	19.608989008823485	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Glasgow/407666/2012_EPI368911	0.001363	18.97065100000001	6.333528999999976	-0.018484142092791034	0.0013524392974580848	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Guam/402/2012_EPI358034	2.2e-05	20.51140799999999	8.122068999999982	-0.018484142092791034	2.1829541118178915e-05	20.42374701902391	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Guam/403/2012_EPI359605	1.4000000000000001e-05	20.669191999999992	8.287359999999982	0.026708859283157388	1.4155587792587274e-05	20.579455265326946	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Guangdong-Haizhu/1375/2012_EPI391240	0.007229000000000001	19.03566699999999	5.736338999999982	-0.018484142092791034	0.0071729887610597915	18.943703404669098	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Guangdong-Liwan/1284/2012_EPI391238	0.007229000000000001	19.03566699999999	5.736338999999982	-0.018484142092791034	0.0071729887610597915	18.943703404669098	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Guangdong/1078/2012_EPI539341	0.001731	19.03566699999999	5.736338999999982	-0.018484142092791034	0.0017175879852530773	18.943703404669098	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Guangdong/1154/2012_EPI539345	0.003124	20.029407	6.73632299999998	0.0067707704408272	0.0031325858338594184	19.93743823300139	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Guangdong/947/2012_EPI539355	0.001019	19.968600999999996	7.333512999999982	0.01208759413211525	0.0010240667130447802	19.878258158494422	2013-02-01	dms_entropy	south	2013
2012-09-01	A/HAMAMATU-C/157/2012_EPI377228	0.000166	18.97065100000001	6.333528999999976	-0.018484142092791034	0.00016471381025535002	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/HIROSHIMA-C/23/2012_EPI377238	0.001308	18.97065100000001	6.333528999999976	-0.018484142092791034	0.0012978654446626375	18.880306291920512	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hamburg/1/2012_EPI358939	1.6e-05	22.990191000000003	14.154058999999972	0.008764579325060216	1.605730766922476e-05	22.911595500355013	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hong_Kong/8116/2012_EPI391276	0.016009	19.03566699999999	5.736338999999982	-0.018484142092791034	0.015884960170951194	18.943703404669098	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hong_Kong/8117/2012_EPI392264	0.016009	19.989931000000002	6.73623499999998	-0.018484142092791034	0.015884960170951194	19.89803076307397	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hong_Kong/8118/2012_EPI391234	0.016009	20.495665999999993	6.605402999999978	0.01806902078481431	0.01612874759890861	20.405988931609134	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hong_Kong/8119/2012_EPI392266	0.016009	20.073798	7.34643199999998	0.007435373402238207	0.01605744425414785	19.983022188178257	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hong_Kong/8147/2012_EPI392268	0.016009	19.03566699999999	5.736338999999982	-0.018484142092791034	0.015884960170951194	18.943703404669098	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hong_Kong/8150/2012_EPI392270	0.016297	20.003061	6.73623099999998	0.013416800054937261	0.01638710585615582	19.910929192956797	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hong_Kong/8152/2012_EPI392272	0.016009	21.238992000000007	8.656607999999975	0.07721868435039385	0.01653119063650997	21.14851609907136	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Hunan-Changsha/39/2012_EPI384809	0.000393	19.88006399999999	7.225329999999981	-0.018484142092791034	0.00038995498452019614	19.78988622622321	2013-02-01	dms_entropy	south	2013
2012-09-01	A/ISHIKAWA/2/2012_EPI353276	1.3000000000000001e-05	21.531285999999994	10.70395799999999	-0.018484142092791034	1.2899274297105725e-05	21.44390329330249	2013-02-01	dms_entropy	south	2013
2012-09-01	A/ISHIKAWA/50/2012_EPI377232	0.000356	22.210848999999985	10.075899999999974	0.026708859283157388	0.00035995637529721917	22.12378361106441	2013-02-01	dms_entropy	south	2013
2012-09-01	A/IWATE/44/2012_EPI378282	0.002434	19.800173000000015	8.630970999999981	-0.018484142092791034	0.0024151410491657947	19.711703770984045	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Iceland/24/2012_EPI379788	0.002098	20.517063999999994	9.861217999999976	0.026708859283157388	0.0021213159420605783	20.429150779661065	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Idaho/04/2012_EPI360933	6.9e-05	18.82110699999999	7.989210999999978	-0.018484142092791034	6.846537896156115e-05	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Idaho/20/2012_EPI387796	0.011339	19.03566699999999	5.736338999999982	-0.018484142092791034	0.011251143942683216	18.943703404669098	2013-02-01	dms_entropy	south	2013
2012-09-01	A/India/1240/2012_EPI387787	5.7999999999999994e-05	18.82110699999999	7.989210999999978	-0.018484142092791034	5.755060840247168e-05	18.732636906754095	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Indiana/03/2012_EPI375054	0.001363	20.262019	8.243284999999984	-0.018484142092791034	0.0013524392974580848	20.17599810692667	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Indiana/04/2012_EPI375057	0.000976	23.253689000000005	14.833836999999974	-0.018484142092791034	0.0009684378241519374	23.174801943311	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Indiana/05/2012_EPI378106	0.005755	20.414229	10.00580999999999	0.004776961556594179	0.005766024596445127	20.330780154602063	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Indiana/07/2012_EPI378515	0.02174	56.64719399999997	70.71165099999997	-0.018484142092791034	0.0215715556322368	56.76087039022411	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Indiana/16/2012_EPI388362	0.025478	55.889094000000014	69.714459	-0.018484142092791034	0.0252805931185892	56.00088421031477	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Indiana/46/2012_EPI392699	0.025693999999999998	56.037655000000015	69.72879599999999	-0.018484142092791034	0.02549491952229496	56.14829414022648	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Ireland/12M28563/2012_EPI377338	0.0018	20.48752299999999	11.037288999999987	0.012752197093526253	0.001809451032866435	20.406857436320475	2013-02-01	dms_entropy	south	2013
2012-09-01	A/Jiangsu-Xinpu/1205/2012_EPI393396	0.004646	26.001541	18.392412999999966	0.06392662512217373	0.004771048777867909	25.933283155465865	2013-02-01	dms_entropy	south	2013
2012-09-01	A/KAGAWA/22/2012_EPI377226	0.000127	21.799640999999994	10.630938999999987	0.051963771816775625	0.00012976979593127023	21.711184691800298	2013-02-01	dms_entropy	south	2013
