timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2012-09-01	A/AKITA/14/2012_EPI393439	0.000976	19.521272000000017	8.943057999999985	0.10783456737361524	0.0010018849988005132	15.48660098652131	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/Alabama/02/2012_EPI356607	3.4e-05	19.773058000000013	8.824217999999984	0.10783456737361524	3.490173151559164e-05	15.673876777520599	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/Alabama/05/2012_EPI367490	0.000308	18.954602000000005	9.484892999999976	0.4140215107068891	0.00035919075308609214	15.069154088656266	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/Almaty/3277/2012_EPI358871	1e-05	20.512200000000007	7.9017539999999835	0.4140215107068891	1.1662037437860135e-05	16.195155142993368	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/Arkansas/01/2012_EPI353504	1.8e-05	22.275348999999995	13.834334999999975	0.4140215107068891	2.099166738814824e-05	18.412716165594247	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/Astrakhan/06/2012_EPI377492	0.006102000000000001	21.378788999999983	12.030843999999984	0.10783456737361524	0.006263834285533536	17.566170073903244	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/Athens_GR/112/2012_EPI358885	6.500000000000001e-05	20.820269999999994	9.936556999999983	0.10783456737361524	6.672389848568992e-05	16.724201504801854	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/BRISBANE/1/2012_EPI376859	1.3000000000000001e-05	20.821044999999998	8.140138999999982	0.4140215107068891	1.5160648669218177e-05	16.495678064061106	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/BRISBANE/11/2012_EPI376849	0.000127	21.397865999999986	12.021091999999982	0.10783456737361524	0.00013036823242588644	17.58254466373883	2013-02-01	ep_x_koel	south	2013
2012-09-01	A/BRISBANE/26/2012_EPI379388	0.00043200000000000004	24.197706999999994	15.815112999999977	0.4140215107068891	0.0005038000173155579	20.332798247739127	2013-02-01	ep_x_koel	south	2013
