timepoint	strain	frequency	weighted_distance_to_present	weighted_distance_to_future	fitness	projected_frequency	y	future_timepoint	model	hemisphere	forecast_year
2013-02-01	A/Alabama/17/2012_EPI397564	0.0014039999999999999	6.605402999999978	22.457735	-0.25653309611184655	0.0010317307893811228	18.156790292934833	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Alabama/17/2012_EPI399657	0.0014039999999999999	6.605402999999978	22.457735	-0.25653309611184655	0.0010317307893811228	18.156790292934833	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Alaska/22/2012_EPI404924	0.0035549999999999996	14.52050799999998	30.31343499999999	0.5673540122582047	0.004224362411469453	23.355467535198727	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Arges/126697/2012_EPI416328	0.007885	8.231376999999982	24.027972000000005	-0.11921857805017137	0.006277518884780232	19.859578999662666	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Arizona/09/2012_EPI404980	0.006591	5.736338999999982	22.748757999999995	-0.3938476141735218	0.004470576677617027	17.370033026487473	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Attecoube/GR_619/2012_EPI405870	1.4999999999999999e-05	10.600894999999984	27.140078000000013	0.155410458073179	1.4016890576036969e-05	20.124046639543568	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Attecoube/GR_741/2012_EPI405872	7.8e-05	10.600894999999984	27.140078000000013	0.155410458073179	7.288783099539224e-05	20.124046639543568	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Bangladesh/1621/2012_EPI406063	0.002916	9.927437999999983	26.971807000000016	0.0867531990423414	0.002617908240501116	19.99024119582019	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Bangladesh/2596/2012_EPI397570	0.00031600000000000004	7.406915999999979	24.154569999999985	-0.25653309611184655	0.0002322129127097114	18.700245132807616	2013-09-01	distance_from_consensus	north	2013
2013-02-01	A/Belem/119244/2012_EPI395227	1.4000000000000001e-05	15.526243999999972	32.54885399999999	0.6360112712890422	1.7315822432978368e-05	23.708176174991237	2013-09-01	distance_from_consensus	north	2013
